Lap,LapTime,DRS,Fuel,Compound,FLWear,FRWear,RLWear,RRWear,StringLapTime
1,94233,0,24.545362,Hard,2.942441,2.536083,2.425951,2.285897,01:34.233
2,94469,0,22.698021,Hard,4.356468,3.773013,3.58469,3.351258,01:34.469
3,93794,0,20.862078,Hard,5.989088,5.136139,4.857469,4.551943,01:33.794
4,93502,0,19.014256,Hard,7.514766,6.365708,6.070772,5.633613,01:33.502
6,93240,0,15.303191,Hard,10.741887,8.967519,9.483214,8.648179,01:33.240
7,93632,0,13.4534,Hard,12.222186,10.173691,10.683496,9.735269,01:33.632
8,93698,0,11.605041,Hard,13.733511,11.379049,11.880911,10.845339,01:33.698
9,93083,0,9.772511,Hard,15.250219,12.617858,13.096099,11.939384,01:33.083
10,93366,0,7.934484,Hard,16.695759,13.800963,14.252767,12.978051,01:33.366
11,93651,0,6.107087,Hard,18.069576,14.982611,15.360461,13.9918,01:33.651
1,92733,0,24.400412,Medium,3.464751,2.947003,2.906981,2.663992,01:32.733
2,92879,0,22.548719,Medium,5.260952,4.429741,4.337281,3.971642,01:32.879
3,92628,0,20.6984,Medium,7.002005,5.887606,5.815169,5.331203,01:32.628
4,92312,0,18.857931,Medium,8.848192,7.436827,7.309898,6.701929,01:32.312
5,92783,0,17.01922,Medium,10.603498,8.941376,8.807426,8.047411,01:32.783
6,92303,0,15.170444,Medium,12.425776,10.491245,10.352306,9.450323,01:32.303
7,92548,0,13.332909,Medium,14.230937,12.066097,11.829312,10.811695,01:32.548
8,92701,0,11.49101,Medium,16.052094,13.505125,13.234468,12.109173,01:32.701
9,92380,0,9.653102,Medium,17.917686,15.047555,14.722665,13.462806,01:32.380
10,92515,0,7.797297,Medium,19.595423,16.578581,16.177395,14.812867,01:32.515
1,102364,0,24.670954,Inter,3.584405,3.16988,2.968242,2.793125,01:42.364
2,102040,0,22.959784,Inter,5.515901,4.704658,4.560088,4.244761,01:42.040
3,102582,0,21.257008,Inter,7.543962,6.355824,6.025417,5.595397,01:42.582
4,102390,0,19.548288,Inter,9.311068,7.900181,7.481955,6.962232,01:42.390
5,102714,0,17.846914,Inter,10.93123,9.331347,8.902728,8.296924,01:42.714
6,102067,0,16.128487,Inter,12.88845,10.947602,10.47137,9.734878,01:42.067
7,101446,0,14.399345,Inter,14.805526,12.629962,11.980083,11.149052,01:41.446
1,91302,0,24.33429,Soft,5.268164,4.53815,4.337941,4.03581,01:31.302
2,90927,0,22.463108,Soft,7.920227,6.852592,6.546979,6.091833,01:30.927
3,91241,0,20.603464,Soft,10.618269,9.160755,8.700505,8.074647,01:31.241
4,91278,0,18.752708,Soft,13.409116,11.485325,10.944983,10.12289,01:31.278
5,91350,0,16.915119,Soft,16.109926,13.732754,13.085334,12.066696,01:31.350
6,91384,0,15.054551,Soft,18.839962,16.088593,15.290877,14.109518,01:31.384
7,91824,0,13.218407,Soft,21.524757,18.26602,17.431875,16.062263,01:31.824
8,91751,0,11.36984,Soft,24.214319,20.467329,19.647432,18.075317,01:31.751
