Lap 1/70 -> Compound: 'Medium', TyresAge: 0 Laps, TyresWear: {'FL': 0.0, 'FR': 0.0, 'RL': 0.0, 'RR': 0.0}, FuelLoad: 103.29 Kg, PitStop: No, LapTime: 01:16.175 (hh:)mm:ss.ms
Lap 2/70 -> Compound: 'Medium', TyresAge: 1 Laps, TyresWear: {'FL': 0.01, 'FR': 0.01, 'RL': 0.01, 'RR': 0.01}, FuelLoad: 101.81 Kg, PitStop: No, LapTime: 01:14.229 (hh:)mm:ss.ms
Lap 3/70 -> Compound: 'Medium', TyresAge: 2 Laps, TyresWear: {'FL': 0.02, 'FR': 0.02, 'RL': 0.03, 'RR': 0.02}, FuelLoad: 100.34 Kg, PitStop: No, LapTime: 01:14.263 (hh:)mm:ss.ms
Lap 4/70 -> Compound: 'Medium', TyresAge: 3 Laps, TyresWear: {'FL': 0.04, 'FR': 0.03, 'RL': 0.04, 'RR': 0.04}, FuelLoad: 98.86 Kg, PitStop: No, LapTime: 01:14.322 (hh:)mm:ss.ms
Lap 5/70 -> Compound: 'Medium', TyresAge: 4 Laps, TyresWear: {'FL': 0.05, 'FR': 0.04, 'RL': 0.05, 'RR': 0.05}, FuelLoad: 97.39 Kg, PitStop: No, LapTime: 01:14.331 (hh:)mm:ss.ms
Lap 6/70 -> Compound: 'Medium', TyresAge: 5 Laps, TyresWear: {'FL': 0.06, 'FR': 0.05, 'RL': 0.06, 'RR': 0.06}, FuelLoad: 95.91 Kg, PitStop: No, LapTime: 01:14.340 (hh:)mm:ss.ms
Lap 7/70 -> Compound: 'Medium', TyresAge: 6 Laps, TyresWear: {'FL': 0.07, 'FR': 0.07, 'RL': 0.08, 'RR': 0.07}, FuelLoad: 94.44 Kg, PitStop: No, LapTime: 01:14.400 (hh:)mm:ss.ms
Lap 8/70 -> Compound: 'Medium', TyresAge: 7 Laps, TyresWear: {'FL': 0.08, 'FR': 0.08, 'RL': 0.09, 'RR': 0.08}, FuelLoad: 92.96 Kg, PitStop: No, LapTime: 01:14.411 (hh:)mm:ss.ms
Lap 9/70 -> Compound: 'Medium', TyresAge: 8 Laps, TyresWear: {'FL': 0.1, 'FR': 0.09, 'RL': 0.1, 'RR': 0.1}, FuelLoad: 91.49 Kg, PitStop: No, LapTime: 01:14.473 (hh:)mm:ss.ms
Lap 10/70 -> Compound: 'Medium', TyresAge: 9 Laps, TyresWear: {'FL': 0.11, 'FR': 0.1, 'RL': 0.11, 'RR': 0.11}, FuelLoad: 90.01 Kg, PitStop: No, LapTime: 01:14.485 (hh:)mm:ss.ms
Lap 11/70 -> Compound: 'Medium', TyresAge: 10 Laps, TyresWear: {'FL': 0.12, 'FR': 0.11, 'RL': 0.13, 'RR': 0.12}, FuelLoad: 88.53 Kg, PitStop: No, LapTime: 01:14.523 (hh:)mm:ss.ms
Lap 12/70 -> Compound: 'Medium', TyresAge: 11 Laps, TyresWear: {'FL': 0.13, 'FR': 0.12, 'RL': 0.14, 'RR': 0.13}, FuelLoad: 87.06 Kg, PitStop: No, LapTime: 01:14.536 (hh:)mm:ss.ms
Lap 13/70 -> Compound: 'Medium', TyresAge: 12 Laps, TyresWear: {'FL': 0.15, 'FR': 0.13, 'RL': 0.15, 'RR': 0.14}, FuelLoad: 85.58 Kg, PitStop: No, LapTime: 01:14.576 (hh:)mm:ss.ms
Lap 14/70 -> Compound: 'Medium', TyresAge: 13 Laps, TyresWear: {'FL': 0.16, 'FR': 0.14, 'RL': 0.17, 'RR': 0.16}, FuelLoad: 84.11 Kg, PitStop: No, LapTime: 01:14.645 (hh:)mm:ss.ms
Lap 15/70 -> Compound: 'Medium', TyresAge: 14 Laps, TyresWear: {'FL': 0.17, 'FR': 0.15, 'RL': 0.18, 'RR': 0.17}, FuelLoad: 82.63 Kg, PitStop: No, LapTime: 01:14.661 (hh:)mm:ss.ms
Lap 16/70 -> Compound: 'Medium', TyresAge: 15 Laps, TyresWear: {'FL': 0.18, 'FR': 0.16, 'RL': 0.19, 'RR': 0.18}, FuelLoad: 81.16 Kg, PitStop: No, LapTime: 01:14.679 (hh:)mm:ss.ms
Lap 17/70 -> Compound: 'Medium', TyresAge: 16 Laps, TyresWear: {'FL': 0.19, 'FR': 0.17, 'RL': 0.2, 'RR': 0.19}, FuelLoad: 79.68 Kg, PitStop: No, LapTime: 01:14.696 (hh:)mm:ss.ms
Lap 18/70 -> Compound: 'Medium', TyresAge: 17 Laps, TyresWear: {'FL': 0.21, 'FR': 0.18, 'RL': 0.22, 'RR': 0.21}, FuelLoad: 78.21 Kg, PitStop: No, LapTime: 01:14.802 (hh:)mm:ss.ms
Lap 19/70 -> Compound: 'Medium', TyresAge: 18 Laps, TyresWear: {'FL': 0.22, 'FR': 0.2, 'RL': 0.23, 'RR': 0.22}, FuelLoad: 76.73 Kg, PitStop: No, LapTime: 01:14.850 (hh:)mm:ss.ms
Lap 20/70 -> Compound: 'Medium', TyresAge: 19 Laps, TyresWear: {'FL': 0.23, 'FR': 0.21, 'RL': 0.24, 'RR': 0.23}, FuelLoad: 75.26 Kg, PitStop: No, LapTime: 01:14.873 (hh:)mm:ss.ms
Lap 21/70 -> Compound: 'Medium', TyresAge: 0 Laps, TyresWear: {'FL': 0.0, 'FR': 0.0, 'RL': 0.0, 'RR': 0.0}, FuelLoad: 73.78 Kg, PitStop: Yes, LapTime: 01:36.391 (hh:)mm:ss.ms
Lap 22/70 -> Compound: 'Medium', TyresAge: 1 Laps, TyresWear: {'FL': 0.01, 'FR': 0.01, 'RL': 0.01, 'RR': 0.01}, FuelLoad: 72.3 Kg, PitStop: No, LapTime: 01:12.400 (hh:)mm:ss.ms
Lap 23/70 -> Compound: 'Medium', TyresAge: 2 Laps, TyresWear: {'FL': 0.02, 'FR': 0.02, 'RL': 0.03, 'RR': 0.02}, FuelLoad: 70.83 Kg, PitStop: No, LapTime: 01:12.433 (hh:)mm:ss.ms
Lap 24/70 -> Compound: 'Medium', TyresAge: 3 Laps, TyresWear: {'FL': 0.04, 'FR': 0.03, 'RL': 0.04, 'RR': 0.04}, FuelLoad: 69.35 Kg, PitStop: No, LapTime: 01:12.493 (hh:)mm:ss.ms
Lap 25/70 -> Compound: 'Medium', TyresAge: 4 Laps, TyresWear: {'FL': 0.05, 'FR': 0.04, 'RL': 0.05, 'RR': 0.05}, FuelLoad: 67.88 Kg, PitStop: No, LapTime: 01:12.501 (hh:)mm:ss.ms
Lap 26/70 -> Compound: 'Medium', TyresAge: 5 Laps, TyresWear: {'FL': 0.06, 'FR': 0.05, 'RL': 0.06, 'RR': 0.06}, FuelLoad: 66.4 Kg, PitStop: No, LapTime: 01:12.510 (hh:)mm:ss.ms
Lap 27/70 -> Compound: 'Medium', TyresAge: 6 Laps, TyresWear: {'FL': 0.07, 'FR': 0.07, 'RL': 0.08, 'RR': 0.07}, FuelLoad: 64.93 Kg, PitStop: No, LapTime: 01:12.571 (hh:)mm:ss.ms
Lap 28/70 -> Compound: 'Medium', TyresAge: 7 Laps, TyresWear: {'FL': 0.08, 'FR': 0.08, 'RL': 0.09, 'RR': 0.08}, FuelLoad: 63.45 Kg, PitStop: No, LapTime: 01:12.581 (hh:)mm:ss.ms
Lap 29/70 -> Compound: 'Medium', TyresAge: 8 Laps, TyresWear: {'FL': 0.1, 'FR': 0.09, 'RL': 0.1, 'RR': 0.1}, FuelLoad: 61.98 Kg, PitStop: No, LapTime: 01:12.644 (hh:)mm:ss.ms
Lap 30/70 -> Compound: 'Medium', TyresAge: 9 Laps, TyresWear: {'FL': 0.11, 'FR': 0.1, 'RL': 0.11, 'RR': 0.11}, FuelLoad: 60.5 Kg, PitStop: No, LapTime: 01:12.655 (hh:)mm:ss.ms
Lap 31/70 -> Compound: 'Medium', TyresAge: 10 Laps, TyresWear: {'FL': 0.12, 'FR': 0.11, 'RL': 0.13, 'RR': 0.12}, FuelLoad: 59.02 Kg, PitStop: No, LapTime: 01:12.693 (hh:)mm:ss.ms
Lap 32/70 -> Compound: 'Medium', TyresAge: 11 Laps, TyresWear: {'FL': 0.13, 'FR': 0.12, 'RL': 0.14, 'RR': 0.13}, FuelLoad: 57.55 Kg, PitStop: No, LapTime: 01:12.706 (hh:)mm:ss.ms
