Lap,LapTime,DRS,Fuel,Compound,FLWear,FRWear,RLWear,RRWear,StringLapTime
1,74964,1,27.065126,Hard,1.623626,1.428219,1.925997,1.761232,01:14.964
2,74557,1,25.619837,Hard,2.613817,2.354213,2.970061,2.709679,01:14.557
3,74187,1,24.138727,Hard,3.593215,3.223467,3.970011,3.620471,01:14.187
4,74247,1,22.662846,Hard,4.588196,4.120819,4.990842,4.57533,01:14.247
5,74435,1,21.198034,Hard,5.564233,5.003308,6.004348,5.526624,01:14.435
6,73773,1,19.736738,Hard,6.598311,5.98443,7.014239,6.484669,01:13.773
7,73394,1,18.271219,Hard,7.549197,6.874715,8.019092,7.448158,01:13.394
8,73293,1,16.811319,Hard,8.562698,7.768724,9.000906,8.369352,01:13.293
9,73505,1,15.395746,Hard,9.538254,8.667031,10.091172,9.386368,01:13.505
10,73357,1,13.924608,Hard,10.4275,9.490321,11.05836,10.323071,01:13.357
1,72926,1,27.243174,Medium,2.08183,1.870892,2.163004,2.055542,01:12.926
2,72506,1,25.772964,Medium,3.324735,2.926299,3.434886,3.213737,01:12.506
3,72416,1,24.309261,Medium,4.537447,4.001278,4.706371,4.408409,01:12.416
4,72054,1,22.816473,Medium,5.840529,5.10052,6.02809,5.611853,01:12.054
5,72208,1,21.355209,Medium,7.042245,6.223005,7.251485,6.796434,01:12.208
6,72200,1,19.906626,Medium,8.257996,7.24096,8.494078,7.922698,01:12.200
7,72750,1,18.437887,Medium,9.355894,8.354288,9.766451,9.190982,01:12.750
8,72554,1,16.979898,Medium,10.50192,9.382601,11.063553,10.472073,01:12.554
9,72906,1,15.517058,Medium,11.759187,10.49623,12.352857,11.676565,01:12.906
10,72968,1,14.047629,Medium,13.112554,11.709053,13.659702,12.915418,01:12.968
1,72795,1,27.006201,Soft,3.742205,3.398744,4.02404,3.906908,01:12.795
2,71721,1,25.512545,Soft,5.652308,5.051361,5.930536,5.657739,01:11.721
3,72052,1,24.028051,Soft,7.566906,6.806397,7.977114,7.641953,01:12.052
4,71984,1,22.541941,Soft,9.564371,8.668753,10.169476,9.698355,01:11.984
1,81606,0,27.10671,Inter,2.964392,2.511758,2.580145,2.417996,01:21.606
2,81594,0,25.684219,Inter,4.581923,3.95024,3.930321,3.715178,01:21.594
3,81484,0,24.273977,Inter,6.01781,5.154769,5.221339,4.909006,01:21.484
4,81318,0,22.864965,Inter,7.512355,6.410902,6.49542,6.109219,01:21.318
5,81687,0,21.445341,Inter,8.94645,7.669432,7.766916,7.311455,01:21.687
1,83656,0,27.162176,Wet,2.101609,1.81863,1.962949,1.854554,01:23.656
2,84023,0,25.763884,Wet,3.225564,2.834012,2.904018,2.752289,01:24.023
3,83407,0,24.369057,Wet,4.282431,3.755273,3.86076,3.657868,01:23.407
4,83558,0,22.97262,Wet,5.33897,4.736388,4.830561,4.583671,01:23.558
5,83245,0,21.578999,Wet,6.405014,5.694937,5.795171,5.498831,01:23.245
