[EA] Generation 1 - Bruteforce solution: 01:25:23.192 -> best overall: 01:39:34.976 - best of generation: 01:39:34.976 - population size ratio 1.88% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 2 - Bruteforce solution: 01:25:23.192 -> best overall: 01:37:07.014 - best of generation: 01:37:07.014 - population size ratio 2.56% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 3 - Bruteforce solution: 01:25:23.192 -> best overall: 01:36:43.490 - best of generation: 01:36:43.490 - population size ratio 3.76% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 4 - Bruteforce solution: 01:25:23.192 -> best overall: 01:36:18.575 - best of generation: 01:36:18.575 - population size ratio 5.88% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 5 - Bruteforce solution: 01:25:23.192 -> best overall: 01:35:54.675 - best of generation: 01:35:54.675 - population size ratio 6.56% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 6 - Bruteforce solution: 01:25:23.192 -> best overall: 01:35:32.753 - best of generation: 01:35:32.753 - population size ratio 6.78% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 7 - Bruteforce solution: 01:25:23.192 -> best overall: 01:35:09.378 - best of generation: 01:35:09.378 - population size ratio 7.18% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 8 - Bruteforce solution: 01:25:23.192 -> best overall: 01:34:46.585 - best of generation: 01:34:46.585 - population size ratio 6.9% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 9 - Bruteforce solution: 01:25:23.192 -> best overall: 01:34:22.298 - best of generation: 01:34:22.298 - population size ratio 7.0% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 10 - Bruteforce solution: 01:25:23.192 -> best overall: 01:33:58.473 - best of generation: 01:33:58.473 - population size ratio 7.1% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 11 - Bruteforce solution: 01:25:23.192 -> best overall: 01:33:39.817 - best of generation: 01:33:39.817 - population size ratio 7.14% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 12 - Bruteforce solution: 01:25:23.192 -> best overall: 01:33:16.356 - best of generation: 01:33:16.356 - population size ratio 6.96% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 13 - Bruteforce solution: 01:25:23.192 -> best overall: 01:32:54.523 - best of generation: 01:32:54.523 - population size ratio 7.06% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 14 - Bruteforce solution: 01:25:23.192 -> best overall: 01:32:28.071 - best of generation: 01:32:28.071 - population size ratio 7.22% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 15 - Bruteforce solution: 01:25:23.192 -> best overall: 01:32:05.563 - best of generation: 01:32:05.563 - population size ratio 7.06% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 16 - Bruteforce solution: 01:25:23.192 -> best overall: 01:31:47.556 - best of generation: 01:31:47.556 - population size ratio 7.14% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 17 - Bruteforce solution: 01:25:23.192 -> best overall: 01:31:25.398 - best of generation: 01:31:25.398 - population size ratio 7.0% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 18 - Bruteforce solution: 01:25:23.192 -> best overall: 01:31:05.198 - best of generation: 01:31:05.198 - population size ratio 6.94% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 19 - Bruteforce solution: 01:25:23.192 -> best overall: 01:30:41.804 - best of generation: 01:30:41.804 - population size ratio 6.8% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 20 - Bruteforce solution: 01:25:23.192 -> best overall: 01:30:39.075 - best of generation: 01:30:39.075 - population size ratio 7.04% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 21 - Bruteforce solution: 01:25:23.192 -> best overall: 01:30:15.124 - best of generation: 01:30:15.124 - population size ratio 6.92% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 22 - Bruteforce solution: 01:25:23.192 -> best overall: 01:29:50.860 - best of generation: 01:29:50.860 - population size ratio 7.2% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 23 - Bruteforce solution: 01:25:23.192 -> best overall: 01:29:31.540 - best of generation: 01:29:31.540 - population size ratio 7.14% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 24 - Bruteforce solution: 01:25:23.192 -> best overall: 01:29:07.300 - best of generation: 01:29:07.300 - population size ratio 6.94% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 25 - Bruteforce solution: 01:25:23.192 -> best overall: 01:28:42.253 - best of generation: 01:28:42.253 - population size ratio 7.14% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 26 - Bruteforce solution: 01:25:23.192 -> best overall: 01:28:22.366 - best of generation: 01:28:22.366 - population size ratio 7.02% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 27 - Bruteforce solution: 01:25:23.192 -> best overall: 01:28:01.132 - best of generation: 01:28:01.132 - population size ratio 6.98% | threshold is 0.3 - counter = 0/10 - stuck value = 0


Best Strategy: 01:27:37.483 vs 01:25:23.192
Lap 1 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '106.02' Kg, PitStop 'No', Time '01:17.275' ms
Lap 2 -> Compound 'Medium', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '104.55' Kg, PitStop 'Yes', Time '01:38.214' ms
Lap 3 -> Compound 'Medium', Wear '0.02'% | '0.02'% | '0.03'% | '0.02'%, Fuel '103.07' Kg, PitStop 'No', Time '01:14.348' ms
Lap 4 -> Compound 'Medium', Wear '0.04'% | '0.03'% | '0.04'% | '0.04'%, Fuel '101.6' Kg, PitStop 'No', Time '01:14.407' ms
Lap 5 -> Compound 'Medium', Wear '0.05'% | '0.04'% | '0.05'% | '0.05'%, Fuel '100.12' Kg, PitStop 'No', Time '01:14.416' ms
Lap 6 -> Compound 'Medium', Wear '0.06'% | '0.05'% | '0.06'% | '0.06'%, Fuel '98.65' Kg, PitStop 'No', Time '01:14.424' ms
Lap 7 -> Compound 'Medium', Wear '0.07'% | '0.07'% | '0.08'% | '0.07'%, Fuel '97.17' Kg, PitStop 'No', Time '01:14.485' ms
Lap 8 -> Compound 'Medium', Wear '0.08'% | '0.08'% | '0.09'% | '0.08'%, Fuel '95.7' Kg, PitStop 'No', Time '01:14.496' ms
Lap 9 -> Compound 'Medium', Wear '0.1'% | '0.09'% | '0.1'% | '0.1'%, Fuel '94.22' Kg, PitStop 'No', Time '01:14.558' ms
Lap 10 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '92.74' Kg, PitStop 'Yes', Time '01:38.497' ms
Lap 11 -> Compound 'Hard', Wear '0.01'% | '0.01'% | '0.01'% | '0.01'%, Fuel '91.27' Kg, PitStop 'No', Time '01:14.455' ms
Lap 12 -> Compound 'Hard', Wear '0.02'% | '0.02'% | '0.02'% | '0.02'%, Fuel '89.79' Kg, PitStop 'No', Time '01:14.413' ms
Lap 13 -> Compound 'Hard', Wear '0.03'% | '0.03'% | '0.03'% | '0.03'%, Fuel '88.32' Kg, PitStop 'No', Time '01:14.372' ms
Lap 14 -> Compound 'Hard', Wear '0.04'% | '0.04'% | '0.04'% | '0.04'%, Fuel '86.84' Kg, PitStop 'No', Time '01:14.331' ms
Lap 15 -> Compound 'Hard', Wear '0.05'% | '0.05'% | '0.05'% | '0.05'%, Fuel '85.37' Kg, PitStop 'No', Time '01:14.289' ms
Lap 16 -> Compound 'Hard', Wear '0.06'% | '0.05'% | '0.06'% | '0.06'%, Fuel '83.89' Kg, PitStop 'No', Time '01:14.235' ms
Lap 17 -> Compound 'Hard', Wear '0.07'% | '0.06'% | '0.07'% | '0.07'%, Fuel '82.42' Kg, PitStop 'No', Time '01:14.193' ms
Lap 18 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '80.94' Kg, PitStop 'Yes', Time '01:36.312' ms
Lap 19 -> Compound 'Soft', Wear '0.02'% | '0.02'% | '0.02'% | '0.02'%, Fuel '79.47' Kg, PitStop 'No', Time '01:12.395' ms
Lap 20 -> Compound 'Soft', Wear '0.04'% | '0.04'% | '0.04'% | '0.04'%, Fuel '77.99' Kg, PitStop 'No', Time '01:12.480' ms
Lap 21 -> Compound 'Soft', Wear '0.06'% | '0.05'% | '0.06'% | '0.06'%, Fuel '76.51' Kg, PitStop 'No', Time '01:12.545' ms
Lap 22 -> Compound 'Soft', Wear '0.08'% | '0.07'% | '0.08'% | '0.08'%, Fuel '75.04' Kg, PitStop 'No', Time '01:12.631' ms
Lap 23 -> Compound 'Soft', Wear '0.1'% | '0.09'% | '0.1'% | '0.1'%, Fuel '73.56' Kg, PitStop 'No', Time '01:12.719' ms
Lap 24 -> Compound 'Soft', Wear '0.12'% | '0.11'% | '0.12'% | '0.12'%, Fuel '72.09' Kg, PitStop 'No', Time '01:12.808' ms
Lap 25 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '70.61' Kg, PitStop 'Yes', Time '01:37.125' ms
Lap 26 -> Compound 'Hard', Wear '0.03'% | '0.03'% | '0.03'% | '0.03'%, Fuel '69.14' Kg, PitStop 'No', Time '01:13.183' ms
Lap 27 -> Compound 'Hard', Wear '0.04'% | '0.04'% | '0.04'% | '0.04'%, Fuel '67.66' Kg, PitStop 'No', Time '01:13.142' ms
Lap 28 -> Compound 'Hard', Wear '0.05'% | '0.05'% | '0.05'% | '0.05'%, Fuel '66.19' Kg, PitStop 'No', Time '01:13.100' ms
Lap 29 -> Compound 'Hard', Wear '0.06'% | '0.05'% | '0.06'% | '0.06'%, Fuel '64.71' Kg, PitStop 'No', Time '01:13.046' ms
Lap 30 -> Compound 'Hard', Wear '0.07'% | '0.06'% | '0.07'% | '0.07'%, Fuel '63.23' Kg, PitStop 'No', Time '01:13.004' ms
Lap 31 -> Compound 'Hard', Wear '0.08'% | '0.07'% | '0.08'% | '0.08'%, Fuel '61.76' Kg, PitStop 'No', Time '01:12.964' ms
Lap 32 -> Compound 'Hard', Wear '0.09'% | '0.08'% | '0.09'% | '0.09'%, Fuel '60.28' Kg, PitStop 'No', Time '01:12.923' ms
Lap 33 -> Compound 'Hard', Wear '0.1'% | '0.09'% | '0.1'% | '0.1'%, Fuel '58.81' Kg, PitStop 'No', Time '01:12.883' ms
Lap 34 -> Compound 'Hard', Wear '0.11'% | '0.1'% | '0.11'% | '0.1'%, Fuel '57.33' Kg, PitStop 'No', Time '01:12.829' ms
