Lap,LapTime,DRS,Fuel,Compound,FLWear,FRWear,RLWear,RRWear
1,90516,0,77.484619,Hard,3.249205,3.046598,2.348379,2.003905
2,88557,0,75.604958,Hard,4.675783,4.290987,3.511338,2.944959
3,88257,0,73.725876,Hard,5.900042,5.463734,4.577923,3.846426
4,88517,0,71.8657,Hard,7.562165,6.809564,5.803115,4.840779
5,88232,0,69.985001,Hard,8.854082,8.248997,6.948948,5.815256
6,87950,0,68.119293,Hard,10.158425,9.418467,8.067805,6.780548
7,88116,0,66.248016,Hard,11.674379,10.707632,9.242881,7.744352
8,88104,0,64.368683,Hard,13.306734,12.086908,10.390566,8.710303
9,88879,0,62.499161,Hard,14.942716,13.544594,11.5063,9.678574
10,87989,0,60.62402,Hard,16.38381,15.461974,12.544018,10.560941
11,89343,0,58.772552,Hard,17.43187,16.576269,13.517496,11.419125
12,88417,0,56.900902,Hard,18.729908,17.972795,14.615959,12.357382
13,88161,0,55.026363,Hard,20.195427,19.304529,15.797481,13.389354
14,88702,0,53.164116,Hard,21.515224,20.454983,16.964363,14.388399
15,88291,0,51.287258,Hard,22.925064,21.687634,18.086702,15.301516
16,89091,0,49.41132,Hard,24.410763,23.324503,19.130711,16.214767
17,88532,0,47.515808,Hard,25.565561,24.718744,20.203823,17.134396
18,88628,0,45.645878,Hard,27.04775,26.034889,21.269167,18.042955
19,88341,0,43.750851,Hard,28.724852,27.525095,22.533146,19.110138
20,87554,0,41.881321,Hard,30.0455,28.72014,23.621998,20.026188
21,87867,0,40.001717,Hard,31.513231,30.155865,24.761801,20.994225
22,88367,0,38.120007,Hard,32.890972,31.359154,25.927797,21.987518
23,88520,0,36.2202,Hard,34.330784,32.870659,26.956093,22.873631
24,88516,0,34.318718,Hard,35.804771,34.202377,28.189909,23.914083
25,87569,0,32.443989,Hard,37.097694,35.466713,29.252949,24.848724
26,87667,0,30.539,Hard,38.648972,36.78093,30.466488,25.878944
27,87974,0,28.631849,Hard,39.980312,38.077282,31.680557,26.914289
28,88370,0,26.729172,Hard,41.436996,39.284801,32.882061,27.898281
29,87558,0,24.855991,Hard,42.755661,40.539566,33.982063,28.819147
30,87074,0,22.990429,Hard,43.985394,41.767048,35.050983,29.739336
31,87194,0,21.09461,Hard,45.402748,43.335159,36.27816,30.790609
32,87464,0,19.235174,Hard,46.882229,44.810795,37.358292,31.704935
33,87404,0,17.371555,Hard,48.311836,46.288296,38.488228,32.685253
34,87289,0,15.48467,Hard,49.651993,47.679455,39.647243,33.66404
35,88020,0,13.608193,Hard,51.119923,49.010944,40.822365,34.664116
36,87918,0,11.733248,Hard,52.385353,50.157036,41.98698,35.646038
37,87806,0,9.841785,Hard,54.209728,51.81226,43.039761,36.569756
38,87458,0,7.954504,Hard,55.586945,53.200466,44.192951,37.567757
39,87293,0,6.057333,Hard,57.46048,55.001354,45.397438,38.572006
1,84702,0,37.342522,Soft,4.402333,3.910377,3.925028,3.262728
2,85521,0,35.489582,Soft,7.288547,6.284507,5.944668,5.007996
3,85525,0,33.604645,Soft,9.411904,8.452914,7.710166,6.50077
4,85236,0,31.737827,Soft,12.00057,10.777731,9.548544,8.014503
5,85567,0,29.865427,Soft,14.16806,12.753836,11.41236,9.556924
6,85287,0,27.986954,Soft,17.247663,15.099398,13.434829,11.202068
7,85849,0,26.111578,Soft,19.439808,17.062265,15.167472,12.66737
1,86636,0,77.30513,Soft,4.200948,3.484247,3.353891,2.724675
2,86401,0,75.418747,Soft,6.881399,5.582094,5.225995,4.21833
3,86554,0,73.535431,Soft,9.416309,7.787178,7.160314,5.799253
4,86428,0,71.64859,Soft,12.545241,10.455606,9.00294,7.288579
5,86716,0,69.76545,Soft,15.00632,12.556619,10.813306,8.748312
6,86957,0,67.87941,Soft,17.154661,14.739403,12.661925,10.290637
7,86625,0,65.984596,Soft,19.763739,16.744858,14.443164,11.770225
8,87095,0,64.092354,Soft,22.66621,19.146816,16.149494,13.200012
9,87266,0,62.204529,Soft,25.271723,21.525753,18.007511,14.745224
10,86914,0,60.307583,Soft,27.625031,24.05467,19.763651,16.253399
11,86760,0,58.383705,Soft,29.443459,26.071716,21.62521,17.883904
12,87159,0,56.463715,Soft,31.630281,28.017143,23.361227,19.327215
13,87452,0,54.518738,Soft,33.430817,29.600462,25.164181,20.83069
14,87372,0,52.629902,Soft,35.792904,31.52121,26.927742,22.274153
15,87863,0,50.724728,Soft,37.906498,33.369656,28.957621,24.000813
16,87015,0,48.842316,Soft,40.151787,35.427036,30.984646,25.660545
17,88006,0,46.979313,Soft,42.748276,37.6297,32.99297,27.323517
18,87259,0,45.104759,Soft,45.371391,40.174103,34.897114,28.974768
19,88797,0,43.221832,Soft,47.598518,43.006474,36.658504,30.562887
20,87573,0,41.312668,Soft,49.890358,45.487694,38.620171,32.232761
21,87630,0,39.386551,Soft,52.276093,47.443932,40.491051,33.794491
22,87223,0,37.464432,Soft,54.194206,49.307076,42.372684,35.365902
23,87436,0,35.511719,Soft,56.453369,51.215179,44.340332,37.025028
24,87507,0,33.6213,Soft,58.861553,53.582729,46.391495,38.764736
25,87887,0,31.715328,Soft,61.423546,56.247841,48.475464,40.545898
26,88141,0,29.785719,Soft,63.495491,58.075531,50.359715,42.130703
27,88300,0,27.870245,Soft,65.972748,60.643505,52.403248,43.82214
28,88555,0,25.963205,Soft,68.75161,63.18494,54.206543,45.38213
29,88427,0,24.104656,Soft,71.145157,65.22966,56.046688,47.015007
30,87437,0,22.230434,Soft,73.382111,67.172203,57.93512,48.680065
31,88039,0,20.351709,Soft,76.253387,69.611145,59.909534,50.38625
32,88171,0,18.461916,Soft,78.374771,71.578468,61.74012,51.924938
33,88829,0,16.580841,Soft,81.391891,74.158394,63.625652,53.531223
34,88296,0,14.708541,Soft,84.013496,76.44426,65.413345,55.07444
