[EA] Generation 1 - Bruteforce solution: 01:14:51.116 -> best overall: 01:25:52.022 - best of generation: 01:25:52.022 - population size ratio 196.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
Lap 1: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '78.66' Kg, PitStop 'No', Time '01:28.773' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '74.88' Kg, PitStop 'Yes', Time '01:50.038' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '72.99' Kg, PitStop 'Yes', Time '01:50.526' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '71.1' Kg, PitStop 'Yes', Time '01:50.412' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '69.21' Kg, PitStop 'No', Time '01:25.344' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '67.33' Kg, PitStop 'No', Time '01:25.278' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '3.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '65.44' Kg, PitStop 'No', Time '01:25.198' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '63.55' Kg, PitStop 'No', Time '01:25.142' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '61.66' Kg, PitStop 'No', Time '01:25.086' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '59.77' Kg, PitStop 'Yes', Time '01:49.132' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '57.88' Kg, PitStop 'Yes', Time '01:49.018' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '55.99' Kg, PitStop 'No', Time '01:24.014' ms
