Lap 1/66 -> Compound: 'Soft', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 104.94 Kg, PitStop: No, LapTime: 01:24.046 (hh:)mm:ss.ms
Lap 2/66 -> Compound: 'Soft', TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0 RR:2.0%, FuelLoad: 103.35 Kg, PitStop: No, LapTime: 01:22.000 (hh:)mm:ss.ms
Lap 3/66 -> Compound: 'Soft', TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0 RR:3.0%, FuelLoad: 101.76 Kg, PitStop: No, LapTime: 01:21.942 (hh:)mm:ss.ms
Lap 4/66 -> Compound: 'Soft', TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0 RR:5.0%, FuelLoad: 100.17 Kg, PitStop: No, LapTime: 01:21.896 (hh:)mm:ss.ms
Lap 5/66 -> Compound: 'Soft', TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0 RR:7.0%, FuelLoad: 98.58 Kg, PitStop: No, LapTime: 01:21.850 (hh:)mm:ss.ms
Lap 6/66 -> Compound: 'Soft', TyreAge: 5 Laps, TyreWear: FL:11.0% FR:8.0% RL:9.0 RR:8.0%, FuelLoad: 96.99 Kg, PitStop: No, LapTime: 01:21.791 (hh:)mm:ss.ms
Lap 7/66 -> Compound: 'Soft', TyreAge: 6 Laps, TyreWear: FL:13.0% FR:10.0% RL:11.0 RR:10.0%, FuelLoad: 95.4 Kg, PitStop: No, LapTime: 01:21.745 (hh:)mm:ss.ms
Lap 8/66 -> Compound: 'Soft', TyreAge: 7 Laps, TyreWear: FL:15.0% FR:12.0% RL:13.0 RR:12.0%, FuelLoad: 93.81 Kg, PitStop: No, LapTime: 01:21.700 (hh:)mm:ss.ms
Lap 9/66 -> Compound: 'Soft', TyreAge: 8 Laps, TyreWear: FL:17.0% FR:14.0% RL:15.0 RR:13.0%, FuelLoad: 92.22 Kg, PitStop: No, LapTime: 01:21.647 (hh:)mm:ss.ms
Lap 10/66 -> Compound: 'Soft', TyreAge: 9 Laps, TyreWear: FL:19.0% FR:15.0% RL:17.0 RR:15.0%, FuelLoad: 90.63 Kg, PitStop: No, LapTime: 01:21.595 (hh:)mm:ss.ms
Lap 11/66 -> Compound: 'Soft', TyreAge: 10 Laps, TyreWear: FL:22.0% FR:17.0% RL:19.0 RR:17.0%, FuelLoad: 89.04 Kg, PitStop: No, LapTime: 01:21.554 (hh:)mm:ss.ms
Lap 12/66 -> Compound: 'Soft', TyreAge: 11 Laps, TyreWear: FL:24.0% FR:19.0% RL:21.0 RR:18.0%, FuelLoad: 87.45 Kg, PitStop: No, LapTime: 01:21.502 (hh:)mm:ss.ms
Lap 13/66 -> Compound: 'Soft', TyreAge: 12 Laps, TyreWear: FL:26.0% FR:20.0% RL:22.0 RR:20.0%, FuelLoad: 85.86 Kg, PitStop: No, LapTime: 01:21.445 (hh:)mm:ss.ms
Lap 14/66 -> Compound: 'Soft', TyreAge: 13 Laps, TyreWear: FL:28.0% FR:22.0% RL:24.0 RR:22.0%, FuelLoad: 84.27 Kg, PitStop: No, LapTime: 01:21.399 (hh:)mm:ss.ms
Lap 15/66 -> Compound: 'Soft', TyreAge: 14 Laps, TyreWear: FL:30.0% FR:24.0% RL:26.0 RR:23.0%, FuelLoad: 82.68 Kg, PitStop: No, LapTime: 01:21.347 (hh:)mm:ss.ms
Lap 16/66 -> Compound: 'Soft', TyreAge: 15 Laps, TyreWear: FL:32.0% FR:25.0% RL:28.0 RR:25.0%, FuelLoad: 81.09 Kg, PitStop: No, LapTime: 01:21.295 (hh:)mm:ss.ms
Lap 17/66 -> Compound: 'Soft', TyreAge: 16 Laps, TyreWear: FL:35.0% FR:27.0% RL:30.0 RR:26.0%, FuelLoad: 79.5 Kg, PitStop: No, LapTime: 01:21.248 (hh:)mm:ss.ms
Lap 18/66 -> Compound: 'Soft', TyreAge: 17 Laps, TyreWear: FL:37.0% FR:29.0% RL:32.0 RR:28.0%, FuelLoad: 77.91 Kg, PitStop: No, LapTime: 01:21.201 (hh:)mm:ss.ms
Lap 19/66 -> Compound: 'Soft', TyreAge: 18 Laps, TyreWear: FL:39.0% FR:30.0% RL:34.0 RR:30.0%, FuelLoad: 76.32 Kg, PitStop: No, LapTime: 01:21.150 (hh:)mm:ss.ms
Lap 20/66 -> Compound: 'Soft', TyreAge: 19 Laps, TyreWear: FL:41.0% FR:32.0% RL:35.0 RR:31.0%, FuelLoad: 74.73 Kg, PitStop: No, LapTime: 01:21.092 (hh:)mm:ss.ms
Lap 21/66 -> Compound: 'Soft', TyreAge: 20 Laps, TyreWear: FL:43.0% FR:34.0% RL:37.0 RR:33.0%, FuelLoad: 73.14 Kg, PitStop: No, LapTime: 01:21.045 (hh:)mm:ss.ms
Lap 22/66 -> Compound: 'Soft', TyreAge: 21 Laps, TyreWear: FL:45.0% FR:36.0% RL:39.0 RR:35.0%, FuelLoad: 71.55 Kg, PitStop: No, LapTime: 01:20.998 (hh:)mm:ss.ms
Lap 23/66 -> Compound: 'Soft', TyreAge: 22 Laps, TyreWear: FL:47.0% FR:37.0% RL:41.0 RR:36.0%, FuelLoad: 69.96 Kg, PitStop: No, LapTime: 01:20.941 (hh:)mm:ss.ms
Lap 24/66 -> Compound: 'Soft', TyreAge: 23 Laps, TyreWear: FL:50.0% FR:39.0% RL:43.0 RR:38.0%, FuelLoad: 68.37 Kg, PitStop: No, LapTime: 01:20.900 (hh:)mm:ss.ms
Lap 25/66 -> Compound: 'Soft', TyreAge: 24 Laps, TyreWear: FL:52.0% FR:41.0% RL:45.0 RR:40.0%, FuelLoad: 66.78 Kg, PitStop: No, LapTime: 01:20.854 (hh:)mm:ss.ms
Lap 26/66 -> Compound: 'Soft', TyreAge: 25 Laps, TyreWear: FL:54.0% FR:42.0% RL:47.0 RR:41.0%, FuelLoad: 65.19 Kg, PitStop: No, LapTime: 01:20.795 (hh:)mm:ss.ms
Lap 27/66 -> Compound: 'Soft', TyreAge: 26 Laps, TyreWear: FL:56.0% FR:44.0% RL:49.0 RR:43.0%, FuelLoad: 63.6 Kg, PitStop: No, LapTime: 01:20.750 (hh:)mm:ss.ms
Lap 28/66 -> Compound: 'Soft', TyreAge: 27 Laps, TyreWear: FL:58.0% FR:46.0% RL:50.0 RR:45.0%, FuelLoad: 62.01 Kg, PitStop: No, LapTime: 01:20.699 (hh:)mm:ss.ms
Lap 29/66 -> Compound: 'Soft', TyreAge: 28 Laps, TyreWear: FL:60.0% FR:47.0% RL:52.0 RR:46.0%, FuelLoad: 60.42 Kg, PitStop: No, LapTime: 01:20.640 (hh:)mm:ss.ms
Lap 30/66 -> Compound: 'Soft', TyreAge: 29 Laps, TyreWear: FL:63.0% FR:49.0% RL:54.0 RR:48.0%, FuelLoad: 58.83 Kg, PitStop: No, LapTime: 01:20.599 (hh:)mm:ss.ms
Lap 31/66 -> Compound: 'Soft', TyreAge: 30 Laps, TyreWear: FL:65.0% FR:51.0% RL:56.0 RR:50.0%, FuelLoad: 57.24 Kg, PitStop: No, LapTime: 01:20.553 (hh:)mm:ss.ms
Lap 32/66 -> Compound: 'Soft', TyreAge: 31 Laps, TyreWear: FL:67.0% FR:52.0% RL:58.0 RR:51.0%, FuelLoad: 55.65 Kg, PitStop: No, LapTime: 01:20.495 (hh:)mm:ss.ms
Lap 33/66 -> Compound: 'Soft', TyreAge: 32 Laps, TyreWear: FL:69.0% FR:54.0% RL:60.0 RR:53.0%, FuelLoad: 54.06 Kg, PitStop: No, LapTime: 01:20.449 (hh:)mm:ss.ms
Lap 34/66 -> Compound: 'Soft', TyreAge: 33 Laps, TyreWear: FL:71.0% FR:56.0% RL:62.0 RR:55.0%, FuelLoad: 52.47 Kg, PitStop: No, LapTime: 01:20.403 (hh:)mm:ss.ms
Lap 35/66 -> Compound: 'Soft', TyreAge: 34 Laps, TyreWear: FL:73.0% FR:58.0% RL:63.0 RR:56.0%, FuelLoad: 50.88 Kg, PitStop: No, LapTime: 01:20.346 (hh:)mm:ss.ms
Lap 36/66 -> Compound: 'Medium', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 49.29 Kg, PitStop: Yes, LapTime: 01:41.295 (hh:)mm:ss.ms
Lap 37/66 -> Compound: 'Medium', TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0 RR:1.0%, FuelLoad: 47.7 Kg, PitStop: No, LapTime: 01:19.237 (hh:)mm:ss.ms
Lap 38/66 -> Compound: 'Medium', TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0 RR:2.0%, FuelLoad: 46.11 Kg, PitStop: No, LapTime: 01:19.178 (hh:)mm:ss.ms
Lap 39/66 -> Compound: 'Medium', TyreAge: 3 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0 RR:3.0%, FuelLoad: 44.52 Kg, PitStop: No, LapTime: 01:19.125 (hh:)mm:ss.ms
Lap 40/66 -> Compound: 'Medium', TyreAge: 4 Laps, TyreWear: FL:6.0% FR:5.0% RL:5.0 RR:5.0%, FuelLoad: 42.93 Kg, PitStop: No, LapTime: 01:19.066 (hh:)mm:ss.ms
Lap 41/66 -> Compound: 'Medium', TyreAge: 5 Laps, TyreWear: FL:8.0% FR:6.0% RL:7.0 RR:6.0%, FuelLoad: 41.34 Kg, PitStop: No, LapTime: 01:19.014 (hh:)mm:ss.ms
Lap 42/66 -> Compound: 'Medium', TyreAge: 6 Laps, TyreWear: FL:9.0% FR:7.0% RL:8.0 RR:7.0%, FuelLoad: 39.75 Kg, PitStop: No, LapTime: 01:18.949 (hh:)mm:ss.ms
