Lap 1/71 -> Compound: 'Medium', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 103.82 Kg, PitStop: No, LapTime: 01:11.208 (hh:)mm:ss.ms
Lap 2/71 -> Compound: 'Medium', TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0 RR:1.0%, FuelLoad: 102.36 Kg, PitStop: No, LapTime: 01:09.201 (hh:)mm:ss.ms
Lap 3/71 -> Compound: 'Medium', TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0 RR:2.0%, FuelLoad: 100.9 Kg, PitStop: No, LapTime: 01:09.170 (hh:)mm:ss.ms
Lap 4/71 -> Compound: 'Medium', TyreAge: 3 Laps, TyreWear: FL:4.0% FR:4.0% RL:4.0 RR:3.0%, FuelLoad: 99.43 Kg, PitStop: No, LapTime: 01:09.131 (hh:)mm:ss.ms
Lap 5/71 -> Compound: 'Medium', TyreAge: 4 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0 RR:4.0%, FuelLoad: 97.97 Kg, PitStop: No, LapTime: 01:09.101 (hh:)mm:ss.ms
Lap 6/71 -> Compound: 'Medium', TyreAge: 5 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0 RR:6.0%, FuelLoad: 96.51 Kg, PitStop: No, LapTime: 01:09.064 (hh:)mm:ss.ms
Lap 7/71 -> Compound: 'Medium', TyreAge: 6 Laps, TyreWear: FL:9.0% FR:9.0% RL:7.0 RR:7.0%, FuelLoad: 95.05 Kg, PitStop: No, LapTime: 01:09.033 (hh:)mm:ss.ms
Lap 8/71 -> Compound: 'Medium', TyreAge: 7 Laps, TyreWear: FL:10.0% FR:10.0% RL:9.0 RR:8.0%, FuelLoad: 93.58 Kg, PitStop: No, LapTime: 01:08.994 (hh:)mm:ss.ms
Lap 9/71 -> Compound: 'Medium', TyreAge: 8 Laps, TyreWear: FL:12.0% FR:11.0% RL:10.0 RR:9.0%, FuelLoad: 92.12 Kg, PitStop: No, LapTime: 01:08.956 (hh:)mm:ss.ms
Lap 10/71 -> Compound: 'Medium', TyreAge: 9 Laps, TyreWear: FL:13.0% FR:13.0% RL:11.0 RR:10.0%, FuelLoad: 90.66 Kg, PitStop: No, LapTime: 01:08.918 (hh:)mm:ss.ms
Lap 11/71 -> Compound: 'Medium', TyreAge: 10 Laps, TyreWear: FL:15.0% FR:14.0% RL:12.0 RR:11.0%, FuelLoad: 89.2 Kg, PitStop: No, LapTime: 01:08.882 (hh:)mm:ss.ms
Lap 12/71 -> Compound: 'Medium', TyreAge: 11 Laps, TyreWear: FL:16.0% FR:16.0% RL:14.0 RR:12.0%, FuelLoad: 87.74 Kg, PitStop: No, LapTime: 01:08.854 (hh:)mm:ss.ms
Lap 13/71 -> Compound: 'Medium', TyreAge: 12 Laps, TyreWear: FL:18.0% FR:17.0% RL:15.0 RR:13.0%, FuelLoad: 86.27 Kg, PitStop: No, LapTime: 01:08.817 (hh:)mm:ss.ms
Lap 14/71 -> Compound: 'Medium', TyreAge: 13 Laps, TyreWear: FL:19.0% FR:19.0% RL:16.0 RR:15.0%, FuelLoad: 84.81 Kg, PitStop: No, LapTime: 01:08.791 (hh:)mm:ss.ms
Lap 15/71 -> Compound: 'Medium', TyreAge: 14 Laps, TyreWear: FL:21.0% FR:20.0% RL:17.0 RR:16.0%, FuelLoad: 83.35 Kg, PitStop: No, LapTime: 01:08.756 (hh:)mm:ss.ms
Lap 16/71 -> Compound: 'Medium', TyreAge: 15 Laps, TyreWear: FL:22.0% FR:21.0% RL:19.0 RR:17.0%, FuelLoad: 81.89 Kg, PitStop: No, LapTime: 01:08.722 (hh:)mm:ss.ms
Lap 17/71 -> Compound: 'Medium', TyreAge: 16 Laps, TyreWear: FL:24.0% FR:23.0% RL:20.0 RR:18.0%, FuelLoad: 80.42 Kg, PitStop: No, LapTime: 01:08.698 (hh:)mm:ss.ms
Lap 18/71 -> Compound: 'Medium', TyreAge: 17 Laps, TyreWear: FL:25.0% FR:24.0% RL:21.0 RR:19.0%, FuelLoad: 78.96 Kg, PitStop: No, LapTime: 01:08.655 (hh:)mm:ss.ms
Lap 19/71 -> Compound: 'Medium', TyreAge: 18 Laps, TyreWear: FL:27.0% FR:26.0% RL:22.0 RR:20.0%, FuelLoad: 77.5 Kg, PitStop: No, LapTime: 01:08.633 (hh:)mm:ss.ms
