FrameIdentifier,TyresWearRL,TyresWearRR,TyresWearFL,TyresWearFR,TyresDamageRL,TyresDamageRR,TyresDamageFL,TyresDamageFR,NumLaps,NumTyreStints,BestLapTimeLapNum,BestSector1LapNum,BestSector2LapNum,BestSector3LapNum,lapTimeInMS[0],sector1TimeInMS[0],sector2TimeInMS[0],sector3TimeInMS[0],lapValidBitFlags[0],lapTimeInMS[1],sector1TimeInMS[1],sector2TimeInMS[1],sector3TimeInMS[1],lapValidBitFlags[1],lapTimeInMS[2],sector1TimeInMS[2],sector2TimeInMS[2],sector3TimeInMS[2],lapValidBitFlags[2],lapTimeInMS[3],sector1TimeInMS[3],sector2TimeInMS[3],sector3TimeInMS[3],lapValidBitFlags[3],lapTimeInMS[4],sector1TimeInMS[4],sector2TimeInMS[4],sector3TimeInMS[4],lapValidBitFlags[4],lapTimeInMS[5],sector1TimeInMS[5],sector2TimeInMS[5],sector3TimeInMS[5],lapValidBitFlags[5],lapTimeInMS[6],sector1TimeInMS[6],sector2TimeInMS[6],sector3TimeInMS[6],lapValidBitFlags[6],lapTimeInMS[7],sector1TimeInMS[7],sector2TimeInMS[7],sector3TimeInMS[7],lapValidBitFlags[7],lapTimeInMS[8],sector1TimeInMS[8],sector2TimeInMS[8],sector3TimeInMS[8],lapValidBitFlags[8],lapTimeInMS[9],sector1TimeInMS[9],sector2TimeInMS[9],sector3TimeInMS[9],lapValidBitFlags[9],lapTimeInMS[10],sector1TimeInMS[10],sector2TimeInMS[10],sector3TimeInMS[10],lapValidBitFlags[10],lapTimeInMS[11],sector1TimeInMS[11],sector2TimeInMS[11],sector3TimeInMS[11],lapValidBitFlags[11],lapTimeInMS[12],sector1TimeInMS[12],sector2TimeInMS[12],sector3TimeInMS[12],lapValidBitFlags[12],lapTimeInMS[13],sector1TimeInMS[13],sector2TimeInMS[13],sector3TimeInMS[13],lapValidBitFlags[13],lapTimeInMS[14],sector1TimeInMS[14],sector2TimeInMS[14],sector3TimeInMS[14],lapValidBitFlags[14],lapTimeInMS[15],sector1TimeInMS[15],sector2TimeInMS[15],sector3TimeInMS[15],lapValidBitFlags[15],lapTimeInMS[16],sector1TimeInMS[16],sector2TimeInMS[16],sector3TimeInMS[16],lapValidBitFlags[16],lapTimeInMS[17],sector1TimeInMS[17],sector2TimeInMS[17],sector3TimeInMS[17],lapValidBitFlags[17],lapTimeInMS[18],sector1TimeInMS[18],sector2TimeInMS[18],sector3TimeInMS[18],lapValidBitFlags[18],endLap[0],tyreActualCompound[0],tyreVisualCompound[0],endLap[1],tyreActualCompound[1],tyreVisualCompound[1],endLap[2],tyreActualCompound[2],tyreVisualCompound[2],endLap[3],tyreActualCompound[3],tyreVisualCompound[3],LastLapTimeInMS,CurrentLapTimeInMS,Sector1TimeInMS,Sector2TimeInMS,LapDistance,TotalDistance,CurrentLapNum,Sector,PitStopShouldServePen,DriverStatus,WorldPositionX,WorldPositionY,WorldPositionZ,RLWheelSlip,RRWheelSlip,FLWheelSlip,FRWheelSlip,Pitch,Roll,Weather,TrackTemperature,AirTemperature,TotalLaps,TrackLength,SessionType,TrackId,Formula,SessionTimeLeft,SessionDuration,NumMarshalZones,ZoneStart[0],ZoneFlag[0],ZoneStart[1],ZoneFlag[1],ZoneStart[2],ZoneFlag[2],ZoneStart[3],ZoneFlag[3],ZoneStart[4],ZoneFlag[4],ZoneStart[5],ZoneFlag[5],ZoneStart[6],ZoneFlag[6],ZoneStart[7],ZoneFlag[7],ZoneStart[8],ZoneFlag[8],ZoneStart[9],ZoneFlag[9],ZoneStart[10],ZoneFlag[10],ZoneStart[11],ZoneFlag[11],ZoneStart[12],ZoneFlag[12],SafetyCarStatus,NumWeatherForecastSamples,ForecastAccuracy,PitStopWindowIdealLap,PitStopWindowLatestLap,PitStopRejoinPosition,FrontWing,RearWing,OnThrottle,OffThrottle,FrontCamber,RearCamber,FrontToe,RearToe,FrontSuspension,RearSuspension,FrontAntiRollBar,RearAntiRollBar,FrontSuspensionHeight,RearSuspensionHeight,BrakePressure,BrakeBias,RearLeftTyrePressure,RearRightTyrePressure,FrontLeftTyrePressure,FrontRightTyrePressure,Ballast,FuelLoad,FuelInTank,FuelCapacity,FuelRemainingLaps,ActualTyreCompound,VisualTyreCompound,TyresAgeLaps,VehicleFIAFlags,ERSStoreEnergy,ERSDeployMode,ERSHarvestedThisLapMGUK,ERSHarvestedThisLapMGUH,ERSDeployedThisLap,Speed,Throttle,Brake,Gear,EngineRPM,DRS,RLBrakeTemperature,RRBrakeTemperature,FLBrakeTemperature,FRBrakeTemperature,RLTyreSurfaceTemperature,RRTyreSurfaceTemperature,FLTyreSurfaceTemperature,FRTyreSurfaceTemperature,RLTyreInnerTemperature,RRTyreInnerTemperature,FLTyreInnerTemperature,FRTyreInnerTemperature,EngineTemperature,RLTyrePressure,RRTyrePressure,FLTyrePressure,FRTyrePressure
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,113.741699,113.741699,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,0.0,30.0,22.0,200.0,4323.0,1.0,17.0,0.0,3600.0,3600.0,13.0,0.990834,0.0,0.079188,0.0,0.130919,0.0,0.216793,0.0,0.295408,0.0,0.344361,0.0,0.421182,0.0,0.542286,0.0,0.592184,0.0,0.671696,0.0,0.747586,0.0,0.800751,0.0,0.90689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,75.0,75.0,-3.0,-1.2,0.09,0.41,8.0,2.0,8.0,1.0,3.0,7.0,95.0,58.0,23.1,23.1,22.200001,22.200001,6.0,20.0,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4209.744629,-4209.744629,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,0.0,30.0,22.0,200.0,4323.0,1.0,17.0,0.0,3599.0,3600.0,13.0,0.990834,0.0,0.079188,0.0,0.130919,0.0,0.216793,0.0,0.295408,0.0,0.344361,0.0,0.421182,0.0,0.542286,0.0,0.592184,0.0,0.671696,0.0,0.747586,0.0,0.800751,0.0,0.90689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,75.0,75.0,-3.0,-1.2,0.09,0.41,8.0,2.0,8.0,1.0,3.0,7.0,95.0,58.0,23.1,23.1,22.200001,22.200001,6.0,20.0,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4209.744629,-4209.744629,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4209.744629,-4209.744629,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4209.744629,-4209.744629,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4209.744629,-4209.744629,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,22.0,200.0,4323.0,1.0,17.0,0.0,3599.0,3600.0,13.0,0.990834,0.0,0.079188,0.0,0.130919,0.0,0.216793,0.0,0.295408,0.0,0.344361,0.0,0.421182,0.0,0.542286,0.0,0.592184,0.0,0.671696,0.0,0.747586,0.0,0.800751,0.0,0.90689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,75.0,75.0,-3.0,-1.2,0.09,0.41,8.0,2.0,8.0,1.0,3.0,7.0,95.0,58.0,23.1,23.1,22.200001,22.200001,6.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4209.744629,-4209.744629,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4209.744629,-4209.744629,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4209.744629,-4209.744629,1.0,0.0,0.0,0.0,330.233063,-42.236576,181.280045,0.0,0.0,0.0,0.0,0.00135,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,14.014085,18.0,18.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,30.0,30.0,30.0,30.0,71.0,71.0,78.0,78.0,83.0,83.0,89.0,89.0,90.0,21.5,21.5,23.0,23.0
