Lap,LapTime,DRS,Fuel,Compound,FLWear,FRWear,RLWear,RRWear
1,68391,1,17.153259,Hard,2.700435,2.177444,1.950713,1.760191
2,68629,1,15.714001,Hard,4.275274,3.56718,2.924831,2.624872
3,68571,1,14.274717,Hard,5.339695,4.475101,3.802886,3.396486
4,68206,1,12.829384,Hard,6.484432,5.45545,4.710441,4.225294
5,68025,1,11.386897,Hard,7.753413,6.559272,5.652916,5.06471
6,68391,1,9.941691,Hard,9.205622,7.936753,6.578863,5.908139
7,68524,1,8.503784,Hard,10.526342,9.232996,7.488464,6.724422
8,68375,1,7.077101,Hard,11.637018,10.274845,8.351431,7.506271
9,68334,1,5.668503,Hard,12.738667,11.342731,9.264296,8.323777
10,68621,1,4.232204,Hard,13.745214,12.384546,10.187627,9.167337
11,68062,1,2.769985,Hard,14.787644,13.454477,11.133748,10.023705
1,67485,1,17.129339,Medium,2.388295,2.334713,2.240304,2.021436
2,67356,1,15.666552,Medium,4.037537,3.859007,3.439742,3.089616
3,67037,1,14.201073,Medium,5.596174,5.315777,4.668567,4.210185
4,67183,1,12.750087,Medium,7.30886,6.798666,5.952157,5.359865
5,67135,1,11.305017,Medium,8.699567,8.262203,7.140071,6.419086
6,67221,1,9.85745,Medium,10.006688,9.58028,8.311411,7.459202
7,67352,1,8.392174,Medium,11.517437,11.048947,9.675664,8.699496
8,67243,1,6.942925,Medium,12.796058,12.329604,10.837223,9.72822
9,67086,1,5.468108,Medium,14.487015,13.817692,12.260854,11.013306
10,67189,1,4.022326,Medium,15.989126,15.310452,13.463083,12.092621
1,75359,0,17.255943,Inter,2.040409,2.094053,1.903458,1.779078
2,75362,0,15.859281,Inter,3.271529,3.380069,2.82604,2.649044
3,74716,0,14.457996,Inter,4.60184,4.707943,3.795099,3.565454
4,74472,0,13.080313,Inter,5.878586,5.947824,4.783533,4.480815
5,74478,0,11.696648,Inter,7.286827,7.264622,5.819063,5.439163
6,74635,0,10.320978,Inter,8.697353,8.799003,6.783885,6.332485
7,74641,0,8.939242,Inter,9.96395,10.068785,7.762248,7.255159
8,74590,0,7.541848,Inter,11.294803,11.37077,8.756181,8.195372
9,74646,0,6.147017,Inter,12.570168,12.705605,9.755923,9.135238
10,74938,0,4.778898,Inter,14.053392,14.196891,10.819858,10.131964
1,67377,0,17.072878,Soft,3.287248,3.022612,2.814106,2.523299
2,67425,0,15.617761,Soft,5.230251,4.776428,4.292615,3.830115
3,67327,0,14.146596,Soft,7.123979,6.533465,5.725192,5.084406
4,67304,0,12.668084,Soft,9.200697,8.61305,7.285681,6.476972
5,67141,0,11.180586,Soft,11.121896,10.41999,8.801911,7.866515
6,67285,0,9.68436,Soft,13.110974,12.404503,10.35519,9.270473
1,67089,1,17.096645,Soft,3.422428,3.164055,2.919926,2.575981
2,66514,1,15.656324,Soft,5.674673,5.285923,4.47471,3.979161
3,66386,1,14.187016,Soft,7.909049,7.56222,6.012429,5.359276
4,66389,1,12.70838,Soft,10.335815,9.964067,7.733502,6.91274
5,66707,1,11.253255,Soft,12.430046,11.993599,9.167778,8.197761
6,66637,1,9.797808,Soft,15.418978,14.979466,10.854461,9.657937
1,76479,0,17.290279,Wet,1.648986,1.575136,1.615453,1.523649
2,76330,0,15.926488,Wet,2.816041,2.749747,2.540373,2.37961
3,76802,0,14.544464,Wet,3.961967,3.996437,3.299192,3.103766
4,76168,0,13.146615,Wet,4.989216,4.955654,4.131504,3.880079
5,76065,0,11.755016,Wet,5.907335,5.780373,4.959608,4.661205
6,76074,0,10.382392,Wet,6.998458,6.751365,5.794641,5.453455
7,75843,0,9.00471,Wet,8.103063,7.800003,6.663925,6.27816
8,75989,0,7.63055,Wet,9.305436,8.997171,7.500246,7.058808
9,75864,0,6.234284,Wet,10.49364,10.293223,8.34234,7.863131
10,75847,0,4.84042,Wet,11.685829,11.525102,9.156473,8.635376
