[EA] Generation 1 - Bruteforce solution: 01:19:53.528 -> best overall: 01:29:58.383 - best of generation: 01:29:58.383 - population size ratio 1.94% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 2 - Bruteforce solution: 01:19:53.528 -> best overall: 01:29:38.321 - best of generation: 01:29:38.321 - population size ratio 2.88% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 3 - Bruteforce solution: 01:19:53.528 -> best overall: 01:29:18.405 - best of generation: 01:29:18.405 - population size ratio 4.2% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 4 - Bruteforce solution: 01:19:53.528 -> best overall: 01:28:58.247 - best of generation: 01:28:58.247 - population size ratio 6.42% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 5 - Bruteforce solution: 01:19:53.528 -> best overall: 01:28:38.981 - best of generation: 01:28:38.981 - population size ratio 7.02% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 6 - Bruteforce solution: 01:19:53.528 -> best overall: 01:28:16.358 - best of generation: 01:28:16.358 - population size ratio 7.2% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 7 - Bruteforce solution: 01:19:53.528 -> best overall: 01:28:00.057 - best of generation: 01:28:00.057 - population size ratio 7.1% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 8 - Bruteforce solution: 01:19:53.528 -> best overall: 01:27:39.183 - best of generation: 01:27:39.183 - population size ratio 7.14% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 9 - Bruteforce solution: 01:19:53.528 -> best overall: 01:27:19.840 - best of generation: 01:27:19.840 - population size ratio 7.08% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 10 - Bruteforce solution: 01:19:53.528 -> best overall: 01:27:19.840 - best of generation: 01:27:19.840 - population size ratio 6.9% | threshold is 0.3 - counter = 1/10 - stuck value = 0
[EA] Generation 11 - Bruteforce solution: 01:19:53.528 -> best overall: 01:26:59.332 - best of generation: 01:26:59.332 - population size ratio 7.06% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 12 - Bruteforce solution: 01:19:53.528 -> best overall: 01:26:39.284 - best of generation: 01:26:39.284 - population size ratio 6.84% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 13 - Bruteforce solution: 01:19:53.528 -> best overall: 01:26:39.284 - best of generation: 01:26:39.284 - population size ratio 6.82% | threshold is 0.3 - counter = 1/10 - stuck value = 0
[EA] Generation 14 - Bruteforce solution: 01:19:53.528 -> best overall: 01:26:18.647 - best of generation: 01:26:18.647 - population size ratio 6.94% | threshold is 0.3 - counter = 0/10 - stuck value = 0
[EA] Generation 15 - Bruteforce solution: 01:19:53.528 -> best overall: 01:25:53.680 - best of generation: 01:25:53.680 - population size ratio 7.2% | threshold is 0.3 - counter = 0/10 - stuck value = 0


Best Strategy: 01:25:43.720 vs 01:19:53.528
Lap 1 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '105.24' Kg, PitStop 'No', Time '01:10.480' ms
Lap 2 -> Compound 'Soft', Wear '0.02'% | '0.02'% | '0.02'% | '0.01'%, Fuel '102.32' Kg, PitStop 'No', Time '01:08.466' ms
Lap 3 -> Compound 'Soft', Wear '0.04'% | '0.04'% | '0.03'% | '0.03'%, Fuel '100.86' Kg, PitStop 'No', Time '01:08.534' ms
Lap 4 -> Compound 'Soft', Wear '0.06'% | '0.06'% | '0.05'% | '0.04'%, Fuel '99.39' Kg, PitStop 'No', Time '01:08.560' ms
Lap 5 -> Compound 'Soft', Wear '0.09'% | '0.08'% | '0.06'% | '0.06'%, Fuel '97.93' Kg, PitStop 'No', Time '01:08.602' ms
Lap 6 -> Compound 'Soft', Wear '0.11'% | '0.11'% | '0.08'% | '0.07'%, Fuel '96.47' Kg, PitStop 'No', Time '01:08.648' ms
Lap 7 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '95.01' Kg, PitStop 'Yes', Time '01:28.948' ms
Lap 8 -> Compound 'Medium', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '93.55' Kg, PitStop 'Yes', Time '01:29.634' ms
Lap 9 -> Compound 'Medium', Wear '0.01'% | '0.01'% | '0.01'% | '0.01'%, Fuel '92.08' Kg, PitStop 'No', Time '01:08.586' ms
Lap 10 -> Compound 'Medium', Wear '0.03'% | '0.03'% | '0.02'% | '0.02'%, Fuel '90.62' Kg, PitStop 'No', Time '01:08.555' ms
Lap 11 -> Compound 'Medium', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.16' Kg, PitStop 'Yes', Time '01:29.388' ms
Lap 12 -> Compound 'Medium', Wear '0.01'% | '0.01'% | '0.01'% | '0.01'%, Fuel '87.7' Kg, PitStop 'No', Time '01:08.340' ms
Lap 13 -> Compound 'Medium', Wear '0.03'% | '0.03'% | '0.02'% | '0.02'%, Fuel '86.23' Kg, PitStop 'No', Time '01:08.309' ms
Lap 14 -> Compound 'Medium', Wear '0.04'% | '0.04'% | '0.04'% | '0.03'%, Fuel '84.77' Kg, PitStop 'No', Time '01:08.270' ms
Lap 15 -> Compound 'Medium', Wear '0.06'% | '0.06'% | '0.05'% | '0.04'%, Fuel '83.31' Kg, PitStop 'No', Time '01:08.241' ms
Lap 16 -> Compound 'Medium', Wear '0.07'% | '0.07'% | '0.06'% | '0.06'%, Fuel '81.85' Kg, PitStop 'No', Time '01:08.203' ms
Lap 17 -> Compound 'Medium', Wear '0.09'% | '0.09'% | '0.07'% | '0.07'%, Fuel '80.39' Kg, PitStop 'No', Time '01:08.172' ms
Lap 18 -> Compound 'Medium', Wear '0.1'% | '0.1'% | '0.09'% | '0.08'%, Fuel '78.92' Kg, PitStop 'No', Time '01:08.133' ms
Lap 19 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '77.46' Kg, PitStop 'Yes', Time '01:27.964' ms
Lap 20 -> Compound 'Soft', Wear '0.02'% | '0.02'% | '0.02'% | '0.01'%, Fuel '76.0' Kg, PitStop 'No', Time '01:06.992' ms
