Lap,LapTime,DRS,Fuel,Compound,FLWear,FRWear,RLWear,RRWear,StringLapTime
1,75131,0,18.239504,Hard,2.069652,1.745678,1.199448,1.046423,01:15.131
2,75130,0,16.853077,Hard,3.075431,2.629241,1.749081,1.529824,01:15.130
3,75001,0,15.440088,Hard,4.174548,3.554218,2.32031,2.029865,01:15.001
4,75092,0,14.037106,Hard,5.310128,4.539962,2.925627,2.563184,01:15.092
5,74988,0,12.632861,Hard,6.430278,5.511109,3.510303,3.06656,01:14.988
6,74584,0,11.226204,Hard,7.5638,6.494833,4.117909,3.595074,01:14.884
7,74805,0,9.836304,Hard,8.760619,7.509172,4.735289,4.120026,01:14.805
8,74849,0,8.430271,Hard,9.905157,8.47522,5.346316,4.649584,01:14.849
9,74738,0,7.036758,Hard,11.065186,9.479007,5.966057,5.193474,01:14.738
10,74686,0,5.622939,Hard,12.109817,10.393492,6.539468,5.686633,01:14.686
1,74383,0,18.183121,Medium,2.784634,2.413771,1.739465,1.51861,01:14.383
2,74348,0,16.75246,Medium,4.221251,3.627565,2.63914,2.279942,01:14.348
3,74279,0,15.336985,Medium,5.677326,4.932168,3.523736,3.045938,01:14.279
4,74281,0,13.913139,Medium,7.075203,6.193837,4.385006,3.797403,01:14.281
5,74070,0,12.488825,Medium,8.447776,7.364105,5.255641,4.538806,01:14.070
6,74018,0,11.059619,Medium,9.822364,8.544196,6.152787,5.316479,01:14.018
1,73607,0,18.157131,Soft,3.915109,3.343405,2.609536,2.22558,01:13.607
2,73508,0,16.720539,Soft,5.771233,4.953516,3.882511,3.298942,01:13.508
3,73598,0,15.269973,Soft,7.753181,6.654881,5.203319,4.429411,01:13.598
4,73406,0,13.832397,Soft,9.773836,8.320116,6.481348,5.506325,01:13.406
5,73489,0,12.375192,Soft,11.728685,10.014625,7.780063,6.63307,01:13.489
6,73627,0,10.970259,Soft,13.858983,11.818137,9.148189,7.786603,01:13.627
7,73871,0,9.556654,Soft,16.154221,13.704499,10.564735,8.96618,01:13.871
8,73986,0,8.13047,Soft,17.906902,15.283364,11.739127,10.004447,01:13.986
9,74219,0,6.697412,Soft,19.956961,17.005678,13.10883,11.119542,01:14.219
10,73900,0,5.260898,Soft,21.877478,18.716574,14.393539,12.235601,01:13.900
1,82733,0,18.387449,Inter,2.38935,2.073036,1.474348,1.29768,01:22.733
2,81593,0,17.042713,Inter,3.660985,3.218501,2.20464,1.935919,01:21.593
3,81937,0,15.703551,Inter,4.838298,4.299169,2.942081,2.596545,01:21.937
4,82129,0,14.404406,Inter,6.140555,5.419128,3.709296,3.289597,01:22.129
5,81848,0,13.057048,Inter,7.382756,6.513625,4.508319,3.981176,01:21.848
