Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
250,500,0.9,0.6,5493991,5126822,01:31:33.991,01:25:26.822,09:16.197,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5540217,5126822,01:32:20.217,01:25:26.822,08:57.301,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5495278,5126822,01:31:35.278,01:25:26.822,09:05.276,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5506857,5126822,01:31:46.857,01:25:26.822,09:00.694,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5492086,5126822,01:31:32.086,01:25:26.822,09:27.308,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5506676,5126822,01:31:46.676,01:25:26.822,08:55.520,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5459624,5126822,01:30:59.624,01:25:26.822,08:39.843,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5501119,5126822,01:31:41.119,01:25:26.822,08:44.794,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5468112,5126822,01:31:08.112,01:25:26.822,08:36.012,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5467534,5126822,01:31:07.534,01:25:26.822,08:27.219,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
