Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
100,1000,0.3,0.3,5126424,5126822,01:25:26.424,01:25:26.822,05:39.767,(1-'Dry')
100,1000,0.6,0.3,5122918,5126822,01:25:22.918,01:25:26.822,05:49.031,(1-'Dry')
100,1000,0.9,0.3,5122953,5126822,01:25:22.953,01:25:26.822,06:08.923,(1-'Dry')
100,1000,0.3,0.6,5124620,5126822,01:25:24.620,01:25:26.822,06:01.284,(1-'Dry')
100,1000,0.6,0.6,5128347,5126822,01:25:28.347,01:25:26.822,06:07.622,(1-'Dry')
100,1000,0.9,0.6,5121006,5126822,01:25:21.006,01:25:26.822,06:21.502,(1-'Dry')
100,1000,0.3,0.9,5120745,5126822,01:25:20.745,01:25:26.822,06:12.313,(1-'Dry')
100,1000,0.6,0.9,5122365,5126822,01:25:22.365,01:25:26.822,06:27.155,(1-'Dry')
100,1000,0.9,0.9,5128981,5126822,01:25:28.981,01:25:26.822,07:53.861,(1-'Dry')
100,1000,0.3,0.3,5121036,5126822,01:25:21.036,01:25:26.822,06:34.239,(1-'Dry')
100,1000,0.3,0.3,5120997,5126822,01:25:20.997,01:25:26.822,05:47.258,(1-'Dry')
100,1000,0.6,0.3,5121591,5126822,01:25:21.591,01:25:26.822,05:48.800,(1-'Dry')
100,1000,0.6,0.3,5120732,5126822,01:25:20.732,01:25:26.822,05:51.923,(1-'Dry')
100,1000,0.6,0.3,5121035,5126822,01:25:21.035,01:25:26.822,05:52.241,(1-'Dry')
100,1000,0.9,0.3,5127823,5126822,01:25:27.823,01:25:26.822,06:09.510,(1-'Dry')
100,1000,0.9,0.3,5124434,5126822,01:25:24.434,01:25:26.822,06:08.115,(1-'Dry')
100,1000,0.9,0.3,5126284,5126822,01:25:26.284,01:25:26.822,05:55.924,(1-'Dry')
100,1000,0.3,0.6,5120403,5126822,01:25:20.403,01:25:26.822,05:59.119,(1-'Dry')
100,1000,0.3,0.6,5120259,5126822,01:25:20.259,01:25:26.822,06:03.241,(1-'Dry')
100,1000,0.3,0.6,5120253,5126822,01:25:20.253,01:25:26.822,05:58.345,(1-'Dry')
100,1000,0.6,0.6,5121656,5126822,01:25:21.656,01:25:26.822,06:11.436,(1-'Dry')
100,1000,0.6,0.6,5124502,5126822,01:25:24.502,01:25:26.822,05:59.890,(1-'Dry')
100,1000,0.6,0.6,5122183,5126822,01:25:22.183,01:25:26.822,06:00.370,(1-'Dry')
100,1000,0.9,0.6,5123251,5126822,01:25:23.251,01:25:26.822,06:09.923,(1-'Dry')
100,1000,0.9,0.6,5128571,5126822,01:25:28.571,01:25:26.822,06:15.972,(1-'Dry')
100,1000,0.9,0.6,5123330,5126822,01:25:23.330,01:25:26.822,06:20.181,(1-'Dry')
100,1000,0.3,0.9,5128168,5126822,01:25:28.168,01:25:26.822,06:10.736,(1-'Dry')
100,1000,0.3,0.9,5126442,5126822,01:25:26.442,01:25:26.822,06:12.898,(1-'Dry')
100,1000,0.3,0.9,5122022,5126822,01:25:22.022,01:25:26.822,06:15.282,(1-'Dry')
100,1000,0.6,0.9,5120823,5126822,01:25:20.823,01:25:26.822,06:28.587,(1-'Dry')
100,1000,0.6,0.9,5121777,5126822,01:25:21.777,01:25:26.822,06:27.435,(1-'Dry')
100,1000,0.6,0.9,5124336,5126822,01:25:24.336,01:25:26.822,06:15.701,(1-'Dry')
100,1000,0.9,0.9,5125265,5126822,01:25:25.265,01:25:26.822,06:34.283,(1-'Dry')
100,1000,0.9,0.9,5125994,5126822,01:25:25.994,01:25:26.822,06:41.353,(1-'Dry')
100,1000,0.9,0.9,5130030,5126822,01:25:30.030,01:25:26.822,06:26.116,(1-'Dry')
100,200,0.9,0.6,5133695,5126822,01:25:33.695,01:25:26.822,01:16.871,(1-'Dry')
100,200,0.9,0.6,5124161,5126822,01:25:24.161,01:25:26.822,01:17.333,(1-'Dry')
100,200,0.9,0.6,5127450,5126822,01:25:27.450,01:25:26.822,01:17.576,(1-'Dry')
250,200,0.9,0.6,5124983,5126822,01:25:24.983,01:25:26.822,03:17.271,(1-'Dry')
250,200,0.9,0.6,5130915,5126822,01:25:30.915,01:25:26.822,03:11.540,(1-'Dry')
500,200,0.9,0.6,5124545,5126822,01:25:24.545,01:25:26.822,06:30.580,(1-'Dry')
500,200,0.9,0.6,5129505,5126822,01:25:29.505,01:25:26.822,06:22.466,(1-'Dry')
100,500,0.9,0.6,5132832,5126822,01:25:32.832,01:25:26.822,03:06.599,(1-'Dry')
100,500,0.9,0.6,5123226,5126822,01:25:23.226,01:25:26.822,03:12.689,(1-'Dry')
