Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
250,500,0.9,0.6,5745146,5126822,01:35:45.146,01:25:26.822,07:14.292,(1-'Dry')
250,500,0.9,0.6,5651580,5126822,01:34:11.580,01:25:26.822,07:19.256,(1-'Dry')
250,500,0.9,0.6,5624936,5126822,01:33:44.936,01:25:26.822,07:17.149,(1-'Dry')
250,500,0.9,0.6,5806129,5126822,01:36:46.129,01:25:26.822,07:28.341,(1-'Dry')
250,500,0.9,0.6,5760150,5126822,01:36:00.150,01:25:26.822,07:28.374,(1-'Dry')
250,500,0.9,0.6,5580193,5126822,01:33:00.193,01:25:26.822,07:26.625,(1-'Dry')
250,500,0.9,0.6,5803428,5126822,01:36:43.428,01:25:26.822,07:25.933,(1-'Dry')
250,500,0.9,0.6,5666184,5126822,01:34:26.184,01:25:26.822,07:26.552,(1-'Dry')
250,500,0.9,0.6,5711337,5126822,01:35:11.337,01:25:26.822,07:23.624,(1-'Dry')
250,500,0.9,0.6,5689019,5126822,01:34:49.019,01:25:26.822,07:25.284,(1-'Dry')
