,0,1,2,3,4,5,6,7,8,9
0,,,,,4993865.0,,,,,
1,,,,,,,,,,
2,,,,,,4969025.0,4941347.0,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,4993265.0,,4917599.0,,
7,,,,,5045179.0,4993865.0,,,4894955.0,
8,,5098254.0,,,,,,,,
9,,,,,,,4969025.0,,,
10,,,5071878.0,,,5003644.0,4970211.0,,,
11,,,,,,,4970402.0,4925616.0,,
12,,,,,,,,,,
13,,,,,,,,,,
14,5125487.0,,,,,,,,,
15,,,,,,,,4941347.0,,
16,,,,,,,4980534.0,,,
17,,,,,,,,,,
18,,,,,,5018872.0,,,4914779.0,
19,,,,,,,,,4917599.0,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,5125487.0,,,,,,4951126.0,,
24,,,,,,,,,,4894955.0
25,,,,,,,,,,
26,,,,,,,,,,
27,5193082.0,,,,,,,,,
28,5194802.0,,,5071278.0,5071278.0,,4993265.0,,4925616.0,
29,,,,5071878.0,,,4993662.0,,,
30,,,,,5071878.0,,4993865.0,,,
31,,,,,,,4993865.0,,4930109.0,
32,5206799.0,,,,,,,4960467.0,,
33,,,5098254.0,,,,,,4930384.0,
34,,,5098869.0,,,,,,,
35,,,,,,5045179.0,,,,
36,,,,,,,4997154.0,,4931722.0,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,5003644.0,,,
42,,,,,,,,4969025.0,,
43,,,,,,,,4970211.0,,
44,,,,,,,,,,
45,,,,,,,5007825.0,4970402.0,,
46,,,,,,,,,,
47,,,,,,,,,4941347.0,
48,,,,,,,,,,
49,5300674.0,,,,5082488.0,,,,,
50,,,,,,,,4973707.0,,
51,5308494.0,,,,,,,,,
52,,,,,,,,,,
53,,,,,5084816.0,,5017939.0,,,
54,,,,,,,5018473.0,,,
55,,,,,,,,,4948402.0,4921118.0
56,,,,,,,,,,
57,,,,,,,,,,
58,,5157269.0,,,,,5028020.0,4979931.0,,
59,,,5124954.0,,,,,4980864.0,4962216.0,
60,,,,,,5089774.0,5036138.0,4981674.0,4967293.0,
61,,,,,,,,,4971852.0,
62,,,,,,,,,,
63,,,,,,,5044316.0,,4985964.0,
64,,,,,,,,4987726.0,4990267.0,
65,,,,,,,,,,
66,,,,,5098700.0,,5053710.0,,,
67,,,,,,5177586.0,,,,
68,,,,,,,,4996694.0,,
69,,,,,,,,,5047345.0,
70,,,,,,,,,5056313.0,
71,5398117.0,,,,,,,5003736.0,,
72,,,5148762.0,,,,,,5135528.0,
73,,,5156889.0,,,,,,,
74,,,5157713.0,,,,,,,
75,5429318.0,,,,,,,,,
76,,,,,,,,,5222904.0,
77,,,,,,,,,,
78,,,,5208324.0,,,,,,
79,5484176.0,,,5208595.0,,,,,,
80,,,,,,,,5031101.0,,
81,,,,,,,5364489.0,5042534.0,,
82,5492334.0,,,,,,5390237.0,,,
83,,,,,,,,5076538.0,,
84,,,,,,5428937.0,,5078707.0,,
85,,,5373425.0,5346695.0,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,5558163.0,,,,,,5541606.0,,,
90,,5258823.0,,,,,,,,
91,,,,,,,,,5501988.0,
92,,,,,,,5632763.0,,,
93,5620126.0,,,,,,,,,
94,,,,,,,,,5599086.0,
95,5663516.0,,,,,,,5564655.0,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
