Local Search Strategy:
Lap 1/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 101.06 Kg, PitStop: No, LapTime: 01:27.898 (hh:)mm:ss.ms
Lap 2/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 99.17 Kg, PitStop: No, LapTime: 01:25.864 (hh:)mm:ss.ms
Lap 3/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 97.28 Kg, PitStop: Yes, LapTime: 01:50.072 (hh:)mm:ss.ms
Lap 4/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 95.39 Kg, PitStop: No, LapTime: 01:25.068 (hh:)mm:ss.ms
Lap 5/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 93.51 Kg, PitStop: No, LapTime: 01:25.062 (hh:)mm:ss.ms
Lap 6/53 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0% RR:5.0%, FuelLoad: 91.62 Kg, PitStop: No, LapTime: 01:25.072 (hh:)mm:ss.ms
Lap 7/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 89.73 Kg, PitStop: Yes, LapTime: 01:49.618 (hh:)mm:ss.ms
Lap 8/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 87.84 Kg, PitStop: No, LapTime: 01:24.614 (hh:)mm:ss.ms
Lap 9/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 85.95 Kg, PitStop: No, LapTime: 01:24.608 (hh:)mm:ss.ms
Lap 10/53 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0% RR:5.0%, FuelLoad: 84.06 Kg, PitStop: No, LapTime: 01:24.618 (hh:)mm:ss.ms
Lap 11/53 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:10.0% FR:9.0% RL:8.0% RR:6.0%, FuelLoad: 82.17 Kg, PitStop: No, LapTime: 01:24.614 (hh:)mm:ss.ms
Lap 12/53 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:12.0% FR:11.0% RL:9.0% RR:8.0%, FuelLoad: 80.29 Kg, PitStop: No, LapTime: 01:24.598 (hh:)mm:ss.ms
Lap 13/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 78.4 Kg, PitStop: Yes, LapTime: 01:49.538 (hh:)mm:ss.ms
Lap 14/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 76.51 Kg, PitStop: No, LapTime: 01:24.506 (hh:)mm:ss.ms
Lap 15/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 74.62 Kg, PitStop: No, LapTime: 01:24.472 (hh:)mm:ss.ms
Lap 16/53 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0% RR:4.0%, FuelLoad: 72.73 Kg, PitStop: No, LapTime: 01:24.438 (hh:)mm:ss.ms
Lap 17/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 70.84 Kg, PitStop: Yes, LapTime: 01:49.086 (hh:)mm:ss.ms
Lap 18/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 68.95 Kg, PitStop: No, LapTime: 01:24.052 (hh:)mm:ss.ms
Lap 19/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 67.06 Kg, PitStop: No, LapTime: 01:24.018 (hh:)mm:ss.ms
Lap 20/53 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0% RR:4.0%, FuelLoad: 65.18 Kg, PitStop: No, LapTime: 01:23.986 (hh:)mm:ss.ms
Lap 21/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 63.29 Kg, PitStop: Yes, LapTime: 01:48.032 (hh:)mm:ss.ms
