Best Strategy fitness: 4894955
Best Strategy time: 01:21:34.955

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '101.06' Kg, PitStop 'No', Time '01:27.898' ms
Lap 2: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '99.17' Kg, PitStop 'No', Time '01:25.864' ms
Lap 3: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '97.28' Kg, PitStop 'Yes', Time '01:50.072' ms
Lap 4: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '95.39' Kg, PitStop 'No', Time '01:25.068' ms
Lap 5: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '93.51' Kg, PitStop 'No', Time '01:25.062' ms
Lap 6: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '91.62' Kg, PitStop 'No', Time '01:25.072' ms
Lap 7: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.73' Kg, PitStop 'Yes', Time '01:49.618' ms
Lap 8: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '87.84' Kg, PitStop 'No', Time '01:24.614' ms
Lap 9: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '85.95' Kg, PitStop 'No', Time '01:24.608' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '84.06' Kg, PitStop 'No', Time '01:24.618' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '10.0'% | '9.0'% | '8.0'% | '6.0'%, Fuel '82.17' Kg, PitStop 'No', Time '01:24.614' ms
