Log file of circuit Monza at 21/10/2022 17:38:31

Population: 100
Iterations: 10
Mutation: 0.8
Crossover: 0.6
PitStopTime: 00:25.000
Weather: 'Sunny'

[EA] Generation 1 - Bruteforce solution: 01:14:32.444 -> best overall: 01:25:44.551 - difference: 11:12.107 - valid strategies: 15.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 2 - Bruteforce solution: 01:14:32.444 -> best overall: 01:25:44.551 - difference: 11:12.107 - valid strategies: 7.0% | threshold is 0.2 - Stuck Counter = 0/0
[EA] Generation 3 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:41.573 - difference: 10:09.129 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 4 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:39.741 - difference: 10:07.297 - valid strategies: 22.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 5 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:10.761 - difference: 09:38.317 - valid strategies: 14.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 6 - Bruteforce solution: 01:14:32.444 -> best overall: 01:23:45.568 - difference: 09:13.124 - valid strategies: 17.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 7 - Bruteforce solution: 01:14:32.444 -> best overall: 01:23:14.110 - difference: 08:41.666 - valid strategies: 13.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 8 - Bruteforce solution: 01:14:32.444 -> best overall: 01:22:51.088 - difference: 08:18.644 - valid strategies: 14.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 9 - Bruteforce solution: 01:14:32.444 -> best overall: 01:22:07.989 - difference: 07:35.545 - valid strategies: 9.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 10 - Bruteforce solution: 01:14:32.444 -> best overall: 01:21:39.414 - difference: 07:06.970 - valid strategies: 20.0% | threshold is 0.25 - Stuck Counter = 0/0


Best Strategy fitness: 4899414
Best Strategy time: 01:21:39.414

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '100.72' Kg, PitStop 'No', Time '01:29.113' ms
Lap 2: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '98.83' Kg, PitStop 'Yes', Time '01:51.999' ms
Lap 3: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '96.94' Kg, PitStop 'No', Time '01:26.910' ms
Lap 4: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '95.05' Kg, PitStop 'No', Time '01:26.833' ms
Lap 5: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '93.16' Kg, PitStop 'No', Time '01:26.742' ms
Lap 6: Rain 0% -> Compound 'Hard', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '4.0'%, Fuel '91.27' Kg, PitStop 'No', Time '01:26.666' ms
Lap 7: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.39' Kg, PitStop 'Yes', Time '01:49.608' ms
Lap 8: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '87.5' Kg, PitStop 'No', Time '01:24.604' ms
Lap 9: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '85.61' Kg, PitStop 'No', Time '01:24.598' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '83.72' Kg, PitStop 'No', Time '01:24.608' ms
Lap 11: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '81.83' Kg, PitStop 'Yes', Time '01:50.979' ms
Lap 12: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '79.94' Kg, PitStop 'No', Time '01:25.890' ms
Lap 13: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '78.05' Kg, PitStop 'No', Time '01:25.813' ms
Lap 14: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '76.16' Kg, PitStop 'No', Time '01:25.722' ms
Lap 15: Rain 0% -> Compound 'Hard', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '4.0'%, Fuel '74.28' Kg, PitStop 'No', Time '01:25.646' ms
Lap 16: Rain 0% -> Compound 'Hard', TyresAge 5, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '72.39' Kg, PitStop 'No', Time '01:25.562' ms
Lap 17: Rain 0% -> Compound 'Hard', TyresAge 6, Wear '8.0'% | '8.0'% | '7.0'% | '6.0'%, Fuel '70.5' Kg, PitStop 'No', Time '01:25.473' ms
Lap 18: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '68.61' Kg, PitStop 'Yes', Time '01:50.186' ms
Lap 19: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '66.72' Kg, PitStop 'Yes', Time '02:15.548' ms
Lap 20: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '64.83' Kg, PitStop 'Yes', Time '01:48.734' ms
Lap 21: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '62.94' Kg, PitStop 'No', Time '01:23.702' ms
Lap 22: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '61.06' Kg, PitStop 'Yes', Time '01:48.508' ms
