Local Search Strategy:
Lap 1/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 102.27 Kg, PitStop: No, LapTime: 01:27.334 (hh:)mm:ss.ms
Lap 2/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 100.38 Kg, PitStop: No, LapTime: 01:25.330 (hh:)mm:ss.ms
Lap 3/53 -> Compound: 'Inter' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 98.49 Kg, PitStop: Yes, LapTime: 01:57.768 (hh:)mm:ss.ms
Lap 4/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 96.6 Kg, PitStop: Yes, LapTime: 01:51.819 (hh:)mm:ss.ms
Lap 5/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 94.72 Kg, PitStop: No, LapTime: 01:26.730 (hh:)mm:ss.ms
Lap 6/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 92.83 Kg, PitStop: Yes, LapTime: 01:50.368 (hh:)mm:ss.ms
Lap 7/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 90.94 Kg, PitStop: No, LapTime: 01:25.334 (hh:)mm:ss.ms
Lap 8/53 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 89.05 Kg, PitStop: No, LapTime: 01:25.302 (hh:)mm:ss.ms
Lap 9/53 -> Compound: 'Medium' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:6.0% RL:5.0% RR:4.0%, FuelLoad: 87.16 Kg, PitStop: No, LapTime: 01:25.268 (hh:)mm:ss.ms
Lap 10/53 -> Compound: 'Medium' TyreAge: 4 Laps, TyreWear: FL:8.0% FR:8.0% RL:7.0% RR:6.0%, FuelLoad: 85.27 Kg, PitStop: No, LapTime: 01:25.248 (hh:)mm:ss.ms
Lap 11/53 -> Compound: 'Medium' TyreAge: 5 Laps, TyreWear: FL:11.0% FR:10.0% RL:8.0% RR:7.0%, FuelLoad: 83.38 Kg, PitStop: No, LapTime: 01:25.216 (hh:)mm:ss.ms
Lap 12/53 -> Compound: 'Medium' TyreAge: 6 Laps, TyreWear: FL:13.0% FR:12.0% RL:10.0% RR:8.0%, FuelLoad: 81.5 Kg, PitStop: No, LapTime: 01:25.186 (hh:)mm:ss.ms
Lap 13/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 79.61 Kg, PitStop: Yes, LapTime: 01:50.799 (hh:)mm:ss.ms
Lap 14/53 -> Compound: 'Wet' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 77.72 Kg, PitStop: Yes, LapTime: 02:16.161 (hh:)mm:ss.ms
Lap 15/53 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 75.83 Kg, PitStop: Yes, LapTime: 01:49.348 (hh:)mm:ss.ms
Lap 16/53 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:1.0%, FuelLoad: 73.94 Kg, PitStop: No, LapTime: 01:24.314 (hh:)mm:ss.ms
