Local Search Strategy:
Lap 1/53 -> Compound: 'Inter' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 101.9 Kg, PitStop: No, LapTime: 01:34.984 (hh:)mm:ss.ms
Lap 2/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 100.01 Kg, PitStop: Yes, LapTime: 01:52.035 (hh:)mm:ss.ms
Lap 3/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 98.12 Kg, PitStop: No, LapTime: 01:26.945 (hh:)mm:ss.ms
Lap 4/53 -> Compound: 'Hard' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0% RR:2.0%, FuelLoad: 96.23 Kg, PitStop: No, LapTime: 01:26.868 (hh:)mm:ss.ms
Lap 5/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 94.35 Kg, PitStop: Yes, LapTime: 01:49.870 (hh:)mm:ss.ms
Lap 6/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 92.46 Kg, PitStop: No, LapTime: 01:24.866 (hh:)mm:ss.ms
Lap 7/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 90.57 Kg, PitStop: No, LapTime: 01:24.860 (hh:)mm:ss.ms
Lap 8/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 88.68 Kg, PitStop: Yes, LapTime: 01:51.355 (hh:)mm:ss.ms
Lap 9/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 86.79 Kg, PitStop: No, LapTime: 01:26.265 (hh:)mm:ss.ms
Lap 10/53 -> Compound: 'Hard' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0% RR:2.0%, FuelLoad: 84.9 Kg, PitStop: No, LapTime: 01:26.188 (hh:)mm:ss.ms
Lap 11/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 83.01 Kg, PitStop: Yes, LapTime: 01:49.190 (hh:)mm:ss.ms
Lap 12/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 81.13 Kg, PitStop: No, LapTime: 01:24.186 (hh:)mm:ss.ms
Lap 13/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 79.24 Kg, PitStop: No, LapTime: 01:24.180 (hh:)mm:ss.ms
Lap 14/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 77.35 Kg, PitStop: Yes, LapTime: 01:48.850 (hh:)mm:ss.ms
Lap 15/53 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 75.46 Kg, PitStop: No, LapTime: 01:23.846 (hh:)mm:ss.ms
Lap 16/53 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:5.0% FR:4.0% RL:4.0% RR:3.0%, FuelLoad: 73.57 Kg, PitStop: No, LapTime: 01:23.840 (hh:)mm:ss.ms
Lap 17/53 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:7.0% FR:7.0% RL:6.0% RR:5.0%, FuelLoad: 71.68 Kg, PitStop: No, LapTime: 01:23.850 (hh:)mm:ss.ms
Lap 18/53 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 69.79 Kg, PitStop: Yes, LapTime: 01:48.398 (hh:)mm:ss.ms
Lap 19/53 -> Compound: 'Inter' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 67.9 Kg, PitStop: Yes, LapTime: 01:55.944 (hh:)mm:ss.ms
Lap 20/53 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 66.02 Kg, PitStop: Yes, LapTime: 01:49.995 (hh:)mm:ss.ms
Lap 21/53 -> Compound: 'Hard' TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 64.13 Kg, PitStop: No, LapTime: 01:24.906 (hh:)mm:ss.ms
Lap 22/53 -> Compound: 'Hard' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:3.0% RL:2.0% RR:2.0%, FuelLoad: 62.24 Kg, PitStop: No, LapTime: 01:24.828 (hh:)mm:ss.ms
Lap 23/53 -> Compound: 'Hard' TyreAge: 3 Laps, TyreWear: FL:4.0% FR:4.0% RL:3.0% RR:3.0%, FuelLoad: 60.35 Kg, PitStop: No, LapTime: 01:24.738 (hh:)mm:ss.ms
Lap 24/53 -> Compound: 'Hard' TyreAge: 4 Laps, TyreWear: FL:6.0% FR:5.0% RL:5.0% RR:4.0%, FuelLoad: 58.46 Kg, PitStop: No, LapTime: 01:24.662 (hh:)mm:ss.ms
