Best Strategy fitness: 4919425
Best Strategy time: 01:21:59.425

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '101.9' Kg, PitStop 'No', Time '01:34.984' ms
Lap 2: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '100.01' Kg, PitStop 'Yes', Time '01:52.035' ms
Lap 3: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '98.12' Kg, PitStop 'No', Time '01:26.945' ms
Lap 4: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '96.23' Kg, PitStop 'No', Time '01:26.868' ms
Lap 5: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '94.34' Kg, PitStop 'Yes', Time '01:49.870' ms
Lap 6: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '92.45' Kg, PitStop 'No', Time '01:24.866' ms
Lap 7: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '90.56' Kg, PitStop 'No', Time '01:24.860' ms
Lap 8: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '88.68' Kg, PitStop 'Yes', Time '01:51.355' ms
Lap 9: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '86.79' Kg, PitStop 'No', Time '01:26.265' ms
Lap 10: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '84.9' Kg, PitStop 'No', Time '01:26.188' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '83.01' Kg, PitStop 'Yes', Time '01:49.190' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '81.12' Kg, PitStop 'Yes', Time '01:49.076' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '79.23' Kg, PitStop 'No', Time '01:24.072' ms
Lap 14: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '77.34' Kg, PitStop 'Yes', Time '01:48.850' ms
Lap 15: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '75.45' Kg, PitStop 'No', Time '01:23.846' ms
Lap 16: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '73.57' Kg, PitStop 'Yes', Time '01:50.448' ms
Lap 17: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '71.68' Kg, PitStop 'No', Time '01:25.359' ms
Lap 18: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '69.79' Kg, PitStop 'Yes', Time '01:48.398' ms
Lap 19: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '67.9' Kg, PitStop 'Yes', Time '01:55.944' ms
Lap 20: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '66.01' Kg, PitStop 'Yes', Time '01:49.995' ms
Lap 21: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '64.12' Kg, PitStop 'No', Time '01:24.905' ms
