Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
250,500,0.9,0.6,4806888,4472444,01:20:06.888,01:14:32.444,06:32.770,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4778093,4472444,01:19:38.093,01:14:32.444,06:10.080,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4759295,4472444,01:19:19.295,01:14:32.444,06:06.845,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4761926,4472444,01:19:21.926,01:14:32.444,06:03.645,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4849329,4472444,01:20:49.329,01:14:32.444,06:11.681,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4764865,4472444,01:19:24.865,01:14:32.444,06:17.268,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4762390,4472444,01:19:22.390,01:14:32.444,06:27.283,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4760134,4472444,01:19:20.134,01:14:32.444,06:27.974,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4764105,4472444,01:19:24.105,01:14:32.444,05:55.073,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
250,500,0.9,0.6,4783489,4472444,01:19:43.489,01:14:32.444,06:05.606,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(35-'Dry/Wet')(36-'Wet')(37-'VWet')(50-'Dry/Wet')(51-'Dry')
