Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
100,1000,0.3,0.3,4472762,4472444,01:14:32.762,01:14:32.444,03:59.198,(1-'Dry')
100,1000,0.6,0.3,4473446,4472444,01:14:33.446,01:14:32.444,04:03.601,(1-'Dry')
100,1000,0.9,0.3,4472516,4472444,01:14:32.516,01:14:32.444,04:16.559,(1-'Dry')
100,1000,0.3,0.6,4472702,4472444,01:14:32.702,01:14:32.444,04:04.646,(1-'Dry')
100,1000,0.6,0.6,4472818,4472444,01:14:32.818,01:14:32.444,04:17.496,(1-'Dry')
100,1000,0.9,0.6,4478474,4472444,01:14:38.474,01:14:32.444,04:29.438,(1-'Dry')
100,1000,0.3,0.9,4472796,4472444,01:14:32.796,01:14:32.444,04:19.505,(1-'Dry')
100,1000,0.6,0.9,4472704,4472444,01:14:32.704,01:14:32.444,04:28.597,(1-'Dry')
100,1000,0.9,0.9,4472534,4472444,01:14:32.534,01:14:32.444,04:30.271,(1-'Dry')
100,1000,0.3,0.3,4474308,4472444,01:14:34.308,01:14:32.444,04:29.191,(1-'Dry')
100,1000,0.3,0.3,4478976,4472444,01:14:38.976,01:14:32.444,04:35.009,(1-'Dry')
100,1000,0.3,0.3,4473346,4472444,01:14:33.346,01:14:32.444,04:20.148,(1-'Dry')
100,1000,0.3,0.3,4472760,4472444,01:14:32.760,01:14:32.444,04:23.683,(1-'Dry')
100,1000,0.6,0.3,4473224,4472444,01:14:33.224,01:14:32.444,04:08.326,(1-'Dry')
100,1000,0.6,0.3,4472576,4472444,01:14:32.576,01:14:32.444,04:00.442,(1-'Dry')
100,1000,0.6,0.3,4472816,4472444,01:14:32.816,01:14:32.444,04:07.168,(1-'Dry')
100,1000,0.9,0.3,4474770,4472444,01:14:34.770,01:14:32.444,04:17.533,(1-'Dry')
100,1000,0.9,0.3,4478314,4472444,01:14:38.314,01:14:32.444,04:17.758,(1-'Dry')
100,1000,0.9,0.3,4474108,4472444,01:14:34.108,01:14:32.444,04:15.038,(1-'Dry')
100,1000,0.3,0.6,4473242,4472444,01:14:33.242,01:14:32.444,04:07.457,(1-'Dry')
100,1000,0.3,0.6,4473074,4472444,01:14:33.074,01:14:32.444,04:08.203,(1-'Dry')
100,1000,0.3,0.6,4472510,4472444,01:14:32.510,01:14:32.444,04:08.982,(1-'Dry')
100,1000,0.6,0.6,4472576,4472444,01:14:32.576,01:14:32.444,04:13.672,(1-'Dry')
100,1000,0.6,0.6,4472840,4472444,01:14:32.840,01:14:32.444,04:19.016,(1-'Dry')
100,1000,0.6,0.6,4473990,4472444,01:14:33.990,01:14:32.444,04:12.690,(1-'Dry')
100,1000,0.9,0.6,4472720,4472444,01:14:32.720,01:14:32.444,04:29.005,(1-'Dry')
100,1000,0.9,0.6,4473262,4472444,01:14:33.262,01:14:32.444,04:27.641,(1-'Dry')
100,1000,0.9,0.6,4474650,4472444,01:14:34.650,01:14:32.444,04:25.865,(1-'Dry')
100,1000,0.3,0.9,4473754,4472444,01:14:33.754,01:14:32.444,04:19.130,(1-'Dry')
100,1000,0.3,0.9,4472850,4472444,01:14:32.850,01:14:32.444,04:19.819,(1-'Dry')
100,1000,0.3,0.9,4472706,4472444,01:14:32.706,01:14:32.444,04:17.912,(1-'Dry')
100,1000,0.6,0.9,4472858,4472444,01:14:32.858,01:14:32.444,04:23.154,(1-'Dry')
100,1000,0.6,0.9,4472622,4472444,01:14:32.622,01:14:32.444,04:26.434,(1-'Dry')
100,1000,0.6,0.9,4472510,4472444,01:14:32.510,01:14:32.444,04:30.952,(1-'Dry')
100,1000,0.9,0.9,4477184,4472444,01:14:37.184,01:14:32.444,04:33.495,(1-'Dry')
100,1000,0.9,0.9,4473302,4472444,01:14:33.302,01:14:32.444,04:39.119,(1-'Dry')
100,1000,0.9,0.9,4486408,4472444,01:14:46.408,01:14:32.444,04:32.146,(1-'Dry')
100,200,0.9,0.6,4479332,4472444,01:14:39.332,01:14:32.444,00:55.697,(1-'Dry')
100,200,0.9,0.6,4478902,4472444,01:14:38.902,01:14:32.444,00:53.454,(1-'Dry')
100,200,0.9,0.6,4473244,4472444,01:14:33.244,01:14:32.444,00:53.996,(1-'Dry')
250,200,0.9,0.6,4484850,4472444,01:14:44.850,01:14:32.444,02:13.944,(1-'Dry')
250,200,0.9,0.6,4475212,4472444,01:14:35.212,01:14:32.444,02:18.234,(1-'Dry')
500,200,0.9,0.6,4478864,4472444,01:14:38.864,01:14:32.444,04:27.145,(1-'Dry')
500,200,0.9,0.6,4475948,4472444,01:14:35.948,01:14:32.444,04:31.995,(1-'Dry')
100,500,0.9,0.6,4475690,4472444,01:14:35.690,01:14:32.444,02:16.607,(1-'Dry')
100,500,0.9,0.6,4475844,4472444,01:14:35.844,01:14:32.444,02:15.014,(1-'Dry')
250,500,0.9,0.6,4473228,4472444,01:14:33.228,01:14:32.444,05:31.879,(1-'Dry')
250,500,0.9,0.6,4472566,4472444,01:14:32.566,01:14:32.444,05:31.134,(1-'Dry')
500,500,0.9,0.6,4477088,4472444,01:14:37.088,01:14:32.444,10:56.663,(1-'Dry')
