Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
250,500,0.9,0.6,4919598,4472444,01:21:59.598,01:14:32.444,04:56.355,(1-'Dry')
250,500,0.9,0.6,4858710,4472444,01:20:58.710,01:14:32.444,04:59.322,(1-'Dry')
250,500,0.9,0.6,4924608,4472444,01:22:04.608,01:14:32.444,04:57.902,(1-'Dry')
250,500,0.9,0.6,4975272,4472444,01:22:55.272,01:14:32.444,05:04.967,(1-'Dry')
250,500,0.9,0.6,4851875,4472444,01:20:51.875,01:14:32.444,05:07.206,(1-'Dry')
250,500,0.9,0.6,4903312,4472444,01:21:43.312,01:14:32.444,05:06.474,(1-'Dry')
250,500,0.9,0.6,4927718,4472444,01:22:07.718,01:14:32.444,05:07.379,(1-'Dry')
250,500,0.9,0.6,4953517,4472444,01:22:33.517,01:14:32.444,05:07.115,(1-'Dry')
250,500,0.9,0.6,4963950,4472444,01:22:43.950,01:14:32.444,05:07.384,(1-'Dry')
250,500,0.9,0.6,4903964,4472444,01:21:43.964,01:14:32.444,05:06.775,(1-'Dry')
