Best Strategy fitness: 5878479
Best Strategy time: 01:37:58.479

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '107.06' Kg, PitStop 'No', Time '01:24.106' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '105.47' Kg, PitStop 'No', Time '01:22.060' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '103.88' Kg, PitStop 'Yes', Time '01:44.293' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '102.29' Kg, PitStop 'No', Time '01:22.235' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '100.7' Kg, PitStop 'No', Time '01:22.176' ms
Lap 6: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '99.11' Kg, PitStop 'Yes', Time '01:43.660' ms
Lap 7: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '97.52' Kg, PitStop 'No', Time '01:21.614' ms
Lap 8: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '95.93' Kg, PitStop 'No', Time '01:21.557' ms
Lap 9: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '94.34' Kg, PitStop 'No', Time '01:21.510' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '9.0'% | '7.0'% | '7.0'% | '7.0'%, Fuel '92.75' Kg, PitStop 'No', Time '01:21.464' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '11.0'% | '8.0'% | '9.0'% | '8.0'%, Fuel '91.16' Kg, PitStop 'No', Time '01:21.408' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.57' Kg, PitStop 'Yes', Time '01:43.126' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '87.98' Kg, PitStop 'No', Time '01:21.080' ms
Lap 14: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '86.39' Kg, PitStop 'Yes', Time '01:51.557' ms
Lap 15: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '84.8' Kg, PitStop 'No', Time '01:29.522' ms
Lap 16: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '83.21' Kg, PitStop 'Yes', Time '01:43.135' ms
Lap 17: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '81.62' Kg, PitStop 'Yes', Time '01:42.681' ms
Lap 18: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '80.03' Kg, PitStop 'No', Time '01:20.635' ms
Lap 19: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '78.44' Kg, PitStop 'No', Time '01:20.578' ms
Lap 20: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '76.85' Kg, PitStop 'No', Time '01:20.531' ms
Lap 21: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '9.0'% | '7.0'% | '7.0'% | '7.0'%, Fuel '75.26' Kg, PitStop 'No', Time '01:20.485' ms
Lap 22: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '11.0'% | '8.0'% | '9.0'% | '8.0'%, Fuel '73.67' Kg, PitStop 'No', Time '01:20.429' ms
Lap 23: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '72.08' Kg, PitStop 'Yes', Time '01:42.512' ms
Lap 24: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '70.49' Kg, PitStop 'No', Time '01:20.454' ms
Lap 25: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '68.9' Kg, PitStop 'Yes', Time '01:42.334' ms
Lap 26: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '67.31' Kg, PitStop 'No', Time '01:20.276' ms
Lap 27: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '65.72' Kg, PitStop 'Yes', Time '01:42.156' ms
Lap 28: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '64.13' Kg, PitStop 'No', Time '01:20.098' ms
Lap 29: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '62.54' Kg, PitStop 'No', Time '01:20.039' ms
Lap 30: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '60.95' Kg, PitStop 'No', Time '01:19.985' ms
