Best Strategy fitness: 5955048
Best Strategy time: 01:39:15.048

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '105.19' Kg, PitStop 'No', Time '01:32.662' ms
Lap 2: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '103.6' Kg, PitStop 'No', Time '01:30.627' ms
Lap 3: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '102.01' Kg, PitStop 'No', Time '01:30.764' ms
Lap 4: Rain 0% -> Compound 'Inter', TyresAge 3, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '100.42' Kg, PitStop 'No', Time '01:30.729' ms
Lap 5: Rain 0% -> Compound 'Inter', TyresAge 4, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '98.83' Kg, PitStop 'No', Time '01:30.866' ms
Lap 6: Rain 0% -> Compound 'Inter', TyresAge 5, Wear '3.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '97.24' Kg, PitStop 'No', Time '01:30.831' ms
Lap 7: Rain 0% -> Compound 'Inter', TyresAge 6, Wear '4.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '95.65' Kg, PitStop 'No', Time '01:30.945' ms
Lap 8: Rain 0% -> Compound 'Inter', TyresAge 7, Wear '4.0'% | '3.0'% | '3.0'% | '3.0'%, Fuel '94.06' Kg, PitStop 'No', Time '01:30.935' ms
Lap 9: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '92.47' Kg, PitStop 'Yes', Time '01:51.950' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '90.88' Kg, PitStop 'Yes', Time '01:43.252' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '89.29' Kg, PitStop 'No', Time '01:21.206' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '87.7' Kg, PitStop 'No', Time '01:21.149' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '86.11' Kg, PitStop 'Yes', Time '01:42.985' ms
Lap 14: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '84.52' Kg, PitStop 'No', Time '01:20.939' ms
Lap 15: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '82.93' Kg, PitStop 'No', Time '01:20.882' ms
Lap 16: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '81.34' Kg, PitStop 'No', Time '01:20.835' ms
Lap 17: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '9.0'% | '7.0'% | '7.0'% | '7.0'%, Fuel '79.75' Kg, PitStop 'No', Time '01:20.789' ms
Lap 18: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '11.0'% | '8.0'% | '9.0'% | '8.0'%, Fuel '78.16' Kg, PitStop 'No', Time '01:20.733' ms
Lap 19: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '13.0'% | '10.0'% | '11.0'% | '10.0'%, Fuel '76.57' Kg, PitStop 'No', Time '01:20.687' ms
Lap 20: Rain 0% -> Compound 'Soft', TyresAge 7, Wear '15.0'% | '12.0'% | '13.0'% | '12.0'%, Fuel '74.98' Kg, PitStop 'No', Time '01:20.644' ms
Lap 21: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '73.39' Kg, PitStop 'Yes', Time '02:10.227' ms
Lap 22: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '71.8' Kg, PitStop 'Yes', Time '01:43.705' ms
Lap 23: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '70.21' Kg, PitStop 'No', Time '01:21.640' ms
Lap 24: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '68.62' Kg, PitStop 'Yes', Time '01:43.527' ms
Lap 25: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '67.03' Kg, PitStop 'No', Time '01:21.462' ms
Lap 26: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '65.44' Kg, PitStop 'No', Time '01:21.396' ms
Lap 27: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '63.85' Kg, PitStop 'Yes', Time '01:43.260' ms
Lap 28: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '62.26' Kg, PitStop 'Yes', Time '01:41.649' ms
Lap 29: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '60.67' Kg, PitStop 'Yes', Time '01:50.169' ms
Lap 30: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '59.08' Kg, PitStop 'Yes', Time '01:41.471' ms
Lap 31: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '57.49' Kg, PitStop 'Yes', Time '01:41.382' ms
Lap 32: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '55.9' Kg, PitStop 'No', Time '01:19.336' ms
