Log file of circuit Portimao at 14/10/2022 00:00:59

Population: 200
Iterations: 10
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'Sunny'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:39:25.675 - difference: 11:03.036 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:56.635 - difference: 10:33.996 - valid strategies: 10.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:36.181 - difference: 10:13.542 - valid strategies: 6.86% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:32.430 - difference: 10:09.791 - valid strategies: 6.47% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 5 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:10.547 - difference: 09:47.908 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 6 - Bruteforce solution: 01:28:22.639 -> best overall: 01:37:49.040 - difference: 09:26.401 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 7 - Bruteforce solution: 01:28:22.639 -> best overall: 01:37:18.506 - difference: 08:55.867 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 8 - Bruteforce solution: 01:28:22.639 -> best overall: 01:37:01.233 - difference: 08:38.594 - valid strategies: 6.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 9 - Bruteforce solution: 01:28:22.639 -> best overall: 01:36:49.795 - difference: 08:27.156 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 10 - Bruteforce solution: 01:28:22.639 -> best overall: 01:36:32.522 - difference: 08:09.883 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0


Best Strategy fitness: 5792522
Best Strategy time: 01:36:32.522

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '109.95' Kg, PitStop 'No', Time '01:24.187' ms
Lap 2: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '108.36' Kg, PitStop 'Yes', Time '01:45.620' ms
Lap 3: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '106.77' Kg, PitStop 'No', Time '01:23.555' ms
Lap 4: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '105.18' Kg, PitStop 'No', Time '01:23.488' ms
Lap 5: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '103.59' Kg, PitStop 'No', Time '01:23.425' ms
Lap 6: Rain 0% -> Compound 'Hard', TyresAge 4, Wear '5.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '102.0' Kg, PitStop 'No', Time '01:23.354' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '100.41' Kg, PitStop 'Yes', Time '01:44.017' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '98.82' Kg, PitStop 'No', Time '01:21.959' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '97.23' Kg, PitStop 'No', Time '01:21.900' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '95.64' Kg, PitStop 'Yes', Time '01:43.385' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '94.05' Kg, PitStop 'No', Time '01:21.339' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '92.46' Kg, PitStop 'No', Time '01:21.282' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '90.87' Kg, PitStop 'No', Time '01:21.235' ms
Lap 14: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.28' Kg, PitStop 'Yes', Time '01:44.551' ms
Lap 15: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '87.69' Kg, PitStop 'Yes', Time '02:10.895' ms
Lap 16: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '86.1' Kg, PitStop 'No', Time '01:48.840' ms
Lap 17: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '84.51' Kg, PitStop 'Yes', Time '02:10.717' ms
Lap 18: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '82.92' Kg, PitStop 'No', Time '01:48.662' ms
Lap 19: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '81.33' Kg, PitStop 'Yes', Time '01:44.106' ms
Lap 20: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '79.74' Kg, PitStop 'No', Time '01:22.041' ms
Lap 21: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '78.15' Kg, PitStop 'No', Time '01:21.975' ms
Lap 22: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '76.56' Kg, PitStop 'No', Time '01:21.912' ms
Lap 23: Rain 0% -> Compound 'Hard', TyresAge 4, Wear '5.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '74.97' Kg, PitStop 'No', Time '01:21.841' ms
Lap 24: Rain 0% -> Compound 'Hard', TyresAge 5, Wear '6.0'% | '5.0'% | '4.0'% | '4.0'%, Fuel '73.38' Kg, PitStop 'No', Time '01:21.776' ms
Lap 25: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '71.79' Kg, PitStop 'Yes', Time '01:50.659' ms
Lap 26: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '70.2' Kg, PitStop 'No', Time '01:28.624' ms
Lap 27: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '68.61' Kg, PitStop 'Yes', Time '01:50.481' ms
Lap 28: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '67.02' Kg, PitStop 'No', Time '01:28.445' ms
Lap 29: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '65.43' Kg, PitStop 'No', Time '01:28.582' ms
Lap 30: Rain 0% -> Compound 'Inter', TyresAge 3, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '63.84' Kg, PitStop 'No', Time '01:28.547' ms
