Best Strategy fitness: 5810741
Best Strategy time: 01:36:50.741

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '108.23' Kg, PitStop 'No', Time '01:24.503' ms
Lap 2: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '106.64' Kg, PitStop 'Yes', Time '01:44.414' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '105.05' Kg, PitStop 'Yes', Time '01:44.325' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '103.46' Kg, PitStop 'Yes', Time '01:44.236' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '101.87' Kg, PitStop 'No', Time '01:22.178' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '100.28' Kg, PitStop 'No', Time '01:22.119' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '98.69' Kg, PitStop 'No', Time '01:22.066' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '97.1' Kg, PitStop 'No', Time '01:22.008' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '95.51' Kg, PitStop 'Yes', Time '01:43.791' ms
Lap 10: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '93.92' Kg, PitStop 'No', Time '01:21.733' ms
Lap 11: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '92.33' Kg, PitStop 'No', Time '01:21.674' ms
Lap 12: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '90.74' Kg, PitStop 'No', Time '01:21.621' ms
