,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,6098080.0,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,6128506.0,
15,,,,,,,,,,
16,,,,,,,,,,6077343.0
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,6169798.0,,
26,,,,,,,,,,6096513.0
27,,,,,,,,,,6098080.0
28,,,,,,,,,,
29,,,,,,,,,6150468.0,
30,,,,,6216289.0,,,,,6102490.0
31,,,,6237108.0,,,,,,
32,,,,,,,,6175832.0,,
33,,6279552.0,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,6257942.0,,,,,,,
37,,,,,,6200377.0,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,6191723.0,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,6288605.0,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,6191723.0,,
54,,,,,,,,,,
55,,,,,,,,6192088.0,,
56,,,,,,,,,,
57,,,,,,,6197757.0,,6163809.0,
58,,,,,6237108.0,,,,,
59,,,,,,,,,,6121270.0
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,6122304.0
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,6169798.0,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,6200377.0,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,6279552.0,6257942.0,,,,,,6128506.0
74,,,,,,,,,,6129731.0
75,,,,,,,,,,
76,,,,,,,,6197757.0,,
77,6310530.0,6304938.0,,,,,,,,
78,,6306063.0,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,6310530.0,,,,6216289.0,,,6175832.0,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,6345950.0,,,,,,,,,
90,,,,,,,,6199967.0,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,6219830.0,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
