Log file of circuit Portimao at 14/10/2022 00:03:51

Population: 200
Iterations: 10
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'Sunny'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:45:10.530 - difference: 16:47.891 - valid strategies: 6.86% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:44:39.552 - difference: 16:16.913 - valid strategies: 6.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:44:17.942 - difference: 15:55.303 - valid strategies: 3.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:43:57.108 - difference: 15:34.469 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 5 - Bruteforce solution: 01:28:22.639 -> best overall: 01:43:36.289 - difference: 15:13.650 - valid strategies: 3.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 6 - Bruteforce solution: 01:28:22.639 -> best overall: 01:43:20.377 - difference: 14:57.738 - valid strategies: 3.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 7 - Bruteforce solution: 01:28:22.639 -> best overall: 01:43:11.723 - difference: 14:49.084 - valid strategies: 7.0% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 8 - Bruteforce solution: 01:28:22.639 -> best overall: 01:42:49.798 - difference: 14:27.159 - valid strategies: 6.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 9 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:38.080 - difference: 13:15.441 - valid strategies: 10.5% | threshold is 0.25 - Stuck Counter = 0/0
[EA] Generation 10 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:17.343 - difference: 12:54.704 - valid strategies: 12.5% | threshold is 0.25 - Stuck Counter = 0/0


Best Strategy fitness: 6077343
Best Strategy time: 01:41:17.343

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '105.56' Kg, PitStop 'No', Time '01:25.586' ms
Lap 2: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '103.97' Kg, PitStop 'No', Time '01:23.521' ms
Lap 3: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '102.38' Kg, PitStop 'No', Time '01:23.455' ms
Lap 4: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '100.79' Kg, PitStop 'No', Time '01:23.392' ms
Lap 5: Rain 0% -> Compound 'Hard', TyresAge 4, Wear '5.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '99.2' Kg, PitStop 'No', Time '01:23.321' ms
Lap 6: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '97.61' Kg, PitStop 'Yes', Time '02:11.573' ms
Lap 7: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '96.02' Kg, PitStop 'No', Time '01:49.518' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '94.43' Kg, PitStop 'Yes', Time '01:43.805' ms
Lap 9: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '92.84' Kg, PitStop 'Yes', Time '01:51.960' ms
Lap 10: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '91.25' Kg, PitStop 'Yes', Time '01:51.871' ms
Lap 11: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.66' Kg, PitStop 'Yes', Time '02:11.128' ms
Lap 12: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '88.07' Kg, PitStop 'Yes', Time '01:51.693' ms
Lap 13: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '86.48' Kg, PitStop 'No', Time '01:29.658' ms
Lap 14: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '84.89' Kg, PitStop 'No', Time '01:29.795' ms
Lap 15: Rain 0% -> Compound 'Inter', TyresAge 3, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '83.3' Kg, PitStop 'No', Time '01:29.760' ms
Lap 16: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '81.71' Kg, PitStop 'Yes', Time '01:51.337' ms
Lap 17: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '80.12' Kg, PitStop 'No', Time '01:29.302' ms
Lap 18: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '78.53' Kg, PitStop 'Yes', Time '01:42.915' ms
