Best Strategy fitness: 5982277
Best Strategy time: 01:39:42.277

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '109.96' Kg, PitStop 'No', Time '01:52.142' ms
Lap 2: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '108.37' Kg, PitStop 'Yes', Time '01:45.620' ms
Lap 3: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '106.78' Kg, PitStop 'No', Time '01:23.555' ms
Lap 4: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '105.19' Kg, PitStop 'Yes', Time '01:45.442' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '103.6' Kg, PitStop 'Yes', Time '01:44.196' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '102.01' Kg, PitStop 'No', Time '01:22.138' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '100.42' Kg, PitStop 'No', Time '01:22.079' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '98.83' Kg, PitStop 'No', Time '01:22.026' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '97.24' Kg, PitStop 'No', Time '01:21.968' ms
Lap 10: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '95.65' Kg, PitStop 'Yes', Time '01:51.995' ms
Lap 11: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '94.06' Kg, PitStop 'No', Time '01:29.959' ms
Lap 12: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '92.47' Kg, PitStop 'No', Time '01:30.096' ms
Lap 13: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '90.88' Kg, PitStop 'Yes', Time '01:43.528' ms
Lap 14: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.29' Kg, PitStop 'Yes', Time '02:10.984' ms
Lap 15: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '87.7' Kg, PitStop 'Yes', Time '01:43.305' ms
Lap 16: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '86.11' Kg, PitStop 'No', Time '01:21.247' ms
Lap 17: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '84.52' Kg, PitStop 'No', Time '01:21.188' ms
Lap 18: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '82.93' Kg, PitStop 'Yes', Time '01:51.282' ms
Lap 19: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '81.34' Kg, PitStop 'Yes', Time '01:44.106' ms
Lap 20: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '79.75' Kg, PitStop 'Yes', Time '01:42.860' ms
Lap 21: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '78.16' Kg, PitStop 'No', Time '01:20.802' ms
Lap 22: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '76.57' Kg, PitStop 'No', Time '01:20.743' ms
Lap 23: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '74.98' Kg, PitStop 'Yes', Time '01:50.837' ms
Lap 24: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '73.39' Kg, PitStop 'No', Time '01:28.802' ms
Lap 25: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '71.8' Kg, PitStop 'Yes', Time '01:42.415' ms
Lap 26: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '70.21' Kg, PitStop 'No', Time '01:20.357' ms
Lap 27: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '68.62' Kg, PitStop 'No', Time '01:20.298' ms
Lap 28: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '67.03' Kg, PitStop 'No', Time '01:20.245' ms
Lap 29: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '65.44' Kg, PitStop 'No', Time '01:20.187' ms
