,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,6076932.0,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,5830673.0,,5780954.0,,,
7,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,5830673.0,5783669.0,,,
9,,,,,,,6020223.0,,,,,,,,,,,,,
10,,,,,,,,,,,,,,5905502.0,,,,,,
11,,,,,,,,,,,,,,,,5836662.0,,,,
12,,,,,,,,,,,,,,,,,,5764332.0,,
13,,,,,,,,,,,,,,,,5841668.0,,,,
14,,,,,,,,,,,,,,,,,,,,5716984.0
15,,,,,,,,,,,,,,,,,,,,
16,,6222293.0,,,,,,,,,,,,,,,,5780954.0,,
17,,,,,,,,,,,,,,,,,,,,5721184.0
18,,,,,,,,,,,5935918.0,,,,,,,,,
19,,6239694.0,,,,6131971.0,,,,,,,,,,,,5783669.0,,
20,,,,,,,,,,5957684.0,,,,,,,,,,
21,,,,,,,,,,,,,,,,5852687.0,,,5738776.0,
22,,,,,,,,,,,,,,,,5852866.0,,,,
23,,,,,,,6061613.0,,,,,,,,,,,,,
24,,,,,,,,,5977893.0,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,5998808.0,,,,,,,,,,5790562.0,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,6179177.0,,,,,,,,,,,,,,,,
30,,,,,,,6073519.0,,,,,,,,,,,,,
31,,,,,6157324.0,,,,,,,,,,,5865713.0,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,6075410.0,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,5750862.0,
35,,,,,,,6076932.0,,5985869.0,,,,,,,,5830118.0,,5751537.0,5730523.0
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,5830673.0,,,
38,,,,,,,,,,,,,,,5899534.0,,,,5754673.0,
39,,,,,,,,,,,,,,,,,5832871.0,,,
40,,,6203816.0,,,,,,,,,,,,,,5833424.0,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,5804510.0,5757245.0,
43,,,,,,,,,,,,,,,,,5836662.0,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,5905502.0,,,,,
46,,,,,,,,,,,,5935918.0,,,,,,,,
47,,,,,,,,6020223.0,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,5841668.0,5811348.0,,5738776.0
