Local Search Strategy:
Lap 1/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 108.08 Kg, PitStop: No, LapTime: 01:24.134 (hh:)mm:ss.ms
Lap 2/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 106.49 Kg, PitStop: Yes, LapTime: 01:44.045 (hh:)mm:ss.ms
Lap 3/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 104.9 Kg, PitStop: No, LapTime: 01:21.999 (hh:)mm:ss.ms
Lap 4/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 103.31 Kg, PitStop: No, LapTime: 01:21.942 (hh:)mm:ss.ms
Lap 5/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 101.72 Kg, PitStop: Yes, LapTime: 01:43.778 (hh:)mm:ss.ms
Lap 6/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 100.13 Kg, PitStop: No, LapTime: 01:21.732 (hh:)mm:ss.ms
Lap 7/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 98.54 Kg, PitStop: Yes, LapTime: 01:43.600 (hh:)mm:ss.ms
Lap 8/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 96.95 Kg, PitStop: No, LapTime: 01:21.554 (hh:)mm:ss.ms
Lap 9/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 95.36 Kg, PitStop: No, LapTime: 01:21.497 (hh:)mm:ss.ms
Lap 10/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 93.77 Kg, PitStop: No, LapTime: 01:21.450 (hh:)mm:ss.ms
Lap 11/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 92.18 Kg, PitStop: No, LapTime: 01:21.404 (hh:)mm:ss.ms
Lap 12/66 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:11.0% FR:8.0% RL:9.0% RR:8.0%, FuelLoad: 90.59 Kg, PitStop: No, LapTime: 01:21.348 (hh:)mm:ss.ms
Lap 13/66 -> Compound: 'Soft' TyreAge: 6 Laps, TyreWear: FL:13.0% FR:10.0% RL:11.0% RR:10.0%, FuelLoad: 89.0 Kg, PitStop: No, LapTime: 01:21.302 (hh:)mm:ss.ms
Lap 14/66 -> Compound: 'Soft' TyreAge: 7 Laps, TyreWear: FL:15.0% FR:12.0% RL:13.0% RR:12.0%, FuelLoad: 87.41 Kg, PitStop: No, LapTime: 01:21.259 (hh:)mm:ss.ms
Lap 15/66 -> Compound: 'Soft' TyreAge: 8 Laps, TyreWear: FL:17.0% FR:14.0% RL:15.0% RR:13.0%, FuelLoad: 85.82 Kg, PitStop: No, LapTime: 01:21.208 (hh:)mm:ss.ms
Lap 16/66 -> Compound: 'Soft' TyreAge: 9 Laps, TyreWear: FL:19.0% FR:15.0% RL:17.0% RR:15.0%, FuelLoad: 84.23 Kg, PitStop: No, LapTime: 01:21.160 (hh:)mm:ss.ms
Lap 17/66 -> Compound: 'Soft' TyreAge: 10 Laps, TyreWear: FL:22.0% FR:17.0% RL:19.0% RR:17.0%, FuelLoad: 82.64 Kg, PitStop: No, LapTime: 01:21.122 (hh:)mm:ss.ms
Lap 18/66 -> Compound: 'Soft' TyreAge: 11 Laps, TyreWear: FL:24.0% FR:19.0% RL:21.0% RR:18.0%, FuelLoad: 81.05 Kg, PitStop: No, LapTime: 01:21.075 (hh:)mm:ss.ms
Lap 19/66 -> Compound: 'Soft' TyreAge: 12 Laps, TyreWear: FL:26.0% FR:20.0% RL:22.0% RR:20.0%, FuelLoad: 79.46 Kg, PitStop: No, LapTime: 01:21.021 (hh:)mm:ss.ms
Lap 20/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 77.87 Kg, PitStop: Yes, LapTime: 01:42.442 (hh:)mm:ss.ms
Lap 21/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 76.28 Kg, PitStop: No, LapTime: 01:20.396 (hh:)mm:ss.ms
Lap 22/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 74.69 Kg, PitStop: No, LapTime: 01:20.339 (hh:)mm:ss.ms
Lap 23/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 73.1 Kg, PitStop: No, LapTime: 01:20.292 (hh:)mm:ss.ms
Lap 24/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 71.51 Kg, PitStop: No, LapTime: 01:20.246 (hh:)mm:ss.ms
Lap 25/66 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:11.0% FR:8.0% RL:9.0% RR:8.0%, FuelLoad: 69.92 Kg, PitStop: No, LapTime: 01:20.190 (hh:)mm:ss.ms
Lap 26/66 -> Compound: 'Soft' TyreAge: 6 Laps, TyreWear: FL:13.0% FR:10.0% RL:11.0% RR:10.0%, FuelLoad: 68.33 Kg, PitStop: No, LapTime: 01:20.144 (hh:)mm:ss.ms
Lap 27/66 -> Compound: 'Soft' TyreAge: 7 Laps, TyreWear: FL:15.0% FR:12.0% RL:13.0% RR:12.0%, FuelLoad: 66.74 Kg, PitStop: No, LapTime: 01:20.101 (hh:)mm:ss.ms
Lap 28/66 -> Compound: 'Soft' TyreAge: 8 Laps, TyreWear: FL:17.0% FR:14.0% RL:15.0% RR:13.0%, FuelLoad: 65.15 Kg, PitStop: No, LapTime: 01:20.050 (hh:)mm:ss.ms
Lap 29/66 -> Compound: 'Soft' TyreAge: 9 Laps, TyreWear: FL:19.0% FR:15.0% RL:17.0% RR:15.0%, FuelLoad: 63.56 Kg, PitStop: No, LapTime: 01:20.002 (hh:)mm:ss.ms
Lap 30/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 61.97 Kg, PitStop: Yes, LapTime: 01:41.552 (hh:)mm:ss.ms
Lap 31/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 60.38 Kg, PitStop: Yes, LapTime: 01:41.463 (hh:)mm:ss.ms
Lap 32/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 58.79 Kg, PitStop: No, LapTime: 01:19.417 (hh:)mm:ss.ms
Lap 33/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 57.2 Kg, PitStop: No, LapTime: 01:19.360 (hh:)mm:ss.ms
Lap 34/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 55.61 Kg, PitStop: No, LapTime: 01:19.313 (hh:)mm:ss.ms
Lap 35/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 54.02 Kg, PitStop: No, LapTime: 01:19.267 (hh:)mm:ss.ms
Lap 36/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 52.43 Kg, PitStop: Yes, LapTime: 01:41.018 (hh:)mm:ss.ms
Lap 37/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 50.84 Kg, PitStop: No, LapTime: 01:18.972 (hh:)mm:ss.ms
Lap 38/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 49.25 Kg, PitStop: No, LapTime: 01:18.915 (hh:)mm:ss.ms
Lap 39/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 47.66 Kg, PitStop: No, LapTime: 01:18.868 (hh:)mm:ss.ms
Lap 40/66 -> Compound: 'Hard' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 46.07 Kg, PitStop: Yes, LapTime: 01:42.184 (hh:)mm:ss.ms
Lap 41/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 44.48 Kg, PitStop: Yes, LapTime: 01:40.573 (hh:)mm:ss.ms
Lap 42/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 42.89 Kg, PitStop: No, LapTime: 01:18.527 (hh:)mm:ss.ms
Lap 43/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 41.3 Kg, PitStop: Yes, LapTime: 01:40.394 (hh:)mm:ss.ms
Lap 44/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 39.71 Kg, PitStop: Yes, LapTime: 01:40.305 (hh:)mm:ss.ms
Lap 45/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 38.12 Kg, PitStop: No, LapTime: 01:18.259 (hh:)mm:ss.ms
Lap 46/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 36.53 Kg, PitStop: No, LapTime: 01:18.202 (hh:)mm:ss.ms
Lap 47/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 34.94 Kg, PitStop: No, LapTime: 01:18.155 (hh:)mm:ss.ms
Lap 48/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 33.35 Kg, PitStop: No, LapTime: 01:18.109 (hh:)mm:ss.ms
Lap 49/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 31.76 Kg, PitStop: Yes, LapTime: 01:39.860 (hh:)mm:ss.ms
Lap 50/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 30.17 Kg, PitStop: No, LapTime: 01:17.814 (hh:)mm:ss.ms
Lap 51/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 28.58 Kg, PitStop: No, LapTime: 01:17.757 (hh:)mm:ss.ms
Lap 52/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 26.99 Kg, PitStop: Yes, LapTime: 01:39.593 (hh:)mm:ss.ms
Lap 53/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 25.4 Kg, PitStop: Yes, LapTime: 01:39.504 (hh:)mm:ss.ms
Lap 54/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 23.81 Kg, PitStop: Yes, LapTime: 01:39.415 (hh:)mm:ss.ms
Lap 55/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 22.22 Kg, PitStop: No, LapTime: 01:17.369 (hh:)mm:ss.ms
Lap 56/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 20.63 Kg, PitStop: No, LapTime: 01:17.312 (hh:)mm:ss.ms
Lap 57/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 19.04 Kg, PitStop: Yes, LapTime: 01:39.148 (hh:)mm:ss.ms
Lap 58/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 17.45 Kg, PitStop: No, LapTime: 01:17.102 (hh:)mm:ss.ms
Lap 59/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 15.86 Kg, PitStop: No, LapTime: 01:17.045 (hh:)mm:ss.ms
Lap 60/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 14.27 Kg, PitStop: No, LapTime: 01:16.998 (hh:)mm:ss.ms
Lap 61/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 12.68 Kg, PitStop: Yes, LapTime: 01:38.792 (hh:)mm:ss.ms
