Local Search Strategy:
Lap 1/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 112.01 Kg, PitStop: No, LapTime: 01:24.609 (hh:)mm:ss.ms
Lap 2/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 110.42 Kg, PitStop: No, LapTime: 01:22.551 (hh:)mm:ss.ms
Lap 3/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 108.83 Kg, PitStop: Yes, LapTime: 01:44.431 (hh:)mm:ss.ms
Lap 4/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 107.24 Kg, PitStop: No, LapTime: 01:22.373 (hh:)mm:ss.ms
Lap 5/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 105.65 Kg, PitStop: Yes, LapTime: 01:44.253 (hh:)mm:ss.ms
Lap 6/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 104.06 Kg, PitStop: No, LapTime: 01:22.195 (hh:)mm:ss.ms
Lap 7/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 102.47 Kg, PitStop: Yes, LapTime: 01:44.075 (hh:)mm:ss.ms
Lap 8/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 100.88 Kg, PitStop: No, LapTime: 01:22.017 (hh:)mm:ss.ms
Lap 9/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 99.29 Kg, PitStop: Yes, LapTime: 01:43.897 (hh:)mm:ss.ms
Lap 10/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 97.7 Kg, PitStop: Yes, LapTime: 01:43.808 (hh:)mm:ss.ms
Lap 11/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 96.11 Kg, PitStop: No, LapTime: 01:21.750 (hh:)mm:ss.ms
Lap 12/66 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0% RR:2.0%, FuelLoad: 94.52 Kg, PitStop: No, LapTime: 01:21.691 (hh:)mm:ss.ms
Lap 13/66 -> Compound: 'Medium' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 92.93 Kg, PitStop: Yes, LapTime: 01:43.541 (hh:)mm:ss.ms
Lap 14/66 -> Compound: 'Medium' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:1.0% RL:1.0% RR:1.0%, FuelLoad: 91.34 Kg, PitStop: No, LapTime: 01:21.483 (hh:)mm:ss.ms
Lap 15/66 -> Compound: 'Medium' TyreAge: 2 Laps, TyreWear: FL:3.0% FR:2.0% RL:3.0% RR:2.0%, FuelLoad: 89.75 Kg, PitStop: No, LapTime: 01:21.424 (hh:)mm:ss.ms
