,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,5722079.0,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,5717385.0,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,5722079.0,,,,,,,,,,5524139.0,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,5743673.0,,,,5631790.0,5610635.0,5589355.0,,,,,,,5460151.0,,,,
14,,,,6034175.0,,,,,,,,,5747513.0,,5674607.0,,,,,,,5545905.0,,,,,,,,
15,,6092301.0,,,,,,,,,,,,,,,,,,5567830.0,,,,5503377.0,5481697.0,,,5418185.0,,
16,6119891.0,,6063238.0,,,5990350.0,,,,,5905635.0,,,5696297.0,5678389.0,5653747.0,,,,,,,,,,,,,,5377570.0
17,,,,,,,,,,5928082.0,,,,5700196.0,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,6012222.0,,,,,,,,,,,5656464.0,,,,,,,,,,,,,5399209.0,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,5439646.0,,,
21,,6102880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,5969470.0,5952328.0,,,,,5717385.0,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,5722025.0,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,5722079.0,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,5695771.0,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,5725556.0,5696297.0,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,6081142.0,,,,,,,,,,,,5700068.0,,,,,,,,,,,,,,,
36,,,,6054629.0,,,,,,,,,,,5700122.0,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,5700196.0,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,6083692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6208915.0,6119891.0,,,,,,,,,,,,,,,,,,,5567830.0,,,,,,,,,
44,,,,,,,,,,,,,,5738904.0,,5673846.0,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,5738959.0,5703838.0,5674531.0,,,5610635.0,,,,,,,,,,,
46,,,,,,,,,,,,,,5739043.0,,5674607.0,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,5741031.0,,,,,,,,5567830.0,,,,,,,,
48,,,,6063238.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,5743673.0,,,,,,,,,,,,,,5439646.0,,
50,,,,,,,,,,,,,,,5704557.0,,5653747.0,,,,,,5545905.0,,,,,,,
51,,,,,,,,,5968993.0,,,,,5745195.0,,,,,5612848.0,,,,,,,,,,,
52,,,,,,,,,5969470.0,,,,,,,,,5631790.0,,5589355.0,,,,,,,,,,
53,,,,,6034175.0,,,,,,,,,5745972.0,,5678389.0,,,,,,,,,5503377.0,,,,,
54,,,,,,,,,,,,,,5747513.0,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,5656464.0,,,,,,,,,,5460151.0,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5418185.0,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,5443232.0,,
58,,,,,,,,,,,,,,5752282.0,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,5754390.0,,,,,,,,,,5524139.0,,,,,,5399209.0
60,,,,,,,,,,,,,,,,,5659847.0,,,,,,,,,5481697.0,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,6092301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,6012222.0,,,,,,5905635.0,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,5765277.0,,,,,,,,,,,,,,,,
65,,,,,,,5990350.0,,,5952328.0,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,5928082.0,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,5638750.0,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,5717385.0,,,,,,,,,,,,,,,
73,,6142996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,6042419.0,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,5990350.0,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,5719326.0,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,6102880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,5722025.0,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,5722079.0,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407118.0
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,5934523.0,,,5792664.0,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,5795129.0,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,5725556.0,,,,,,,5584168.0,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,6081142.0,,,,,,,,,,,,,,,,5609858.0,,,,,,,5476340.0,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,6081349.0,,,,,,,,,,,,,,,,,,,,5537243.0,,,,,,
96,6347949.0,,,,,,,,,,,,,,,5695771.0,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,5696297.0,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,5938389.0,,,,,,,,,,,5589399.0,,,,,,,5435298.0,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,5730775.0,5700068.0,,,,,,,,,,,,,,
104,,,6110720.0,,,,,,,,,5918352.0,,,,5700122.0,,,,,,,,,,,,,,
105,,,,6085134.0,,,,,,5966627.0,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,5701719.0,,5652293.0,,,,,,,,,,,,
107,,,,,,,,,5991008.0,,,,,,,5701888.0,,,,,,,,,5528678.0,,,5462675.0,,
108,,,,,,,,,,,,5920161.0,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,5683989.0,5654819.0,,,,,,,,,,,,
110,,,,,,6031195.0,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,6054629.0,,,6000921.0,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,5733474.0,,,,5634793.0,,,,,,,,,,,
114,,,,,,6032676.0,,,,5973758.0,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,5545684.0,,,,,,
118,,,,,,,,,,,,,5893847.0,,,,,,,,,,5576021.0,5546108.0,,5505104.0,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,5577129.0,,,,,,,
121,,,,,6059573.0,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,5927210.0,,,5743931.0,5711229.0,,,,,,,,,,,,,,
123,6406612.0,,,,,,,,,,,,,,,,5696674.0,,,,,,,,,,,,5440776.0,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,6010041.0,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,6010804.0,,,,,,,,5748645.0,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,5749575.0,,,,,,,,,,,,5493809.0,,,
129,,,,,,,,,,,,,,,5749596.0,,,,,,,,5587076.0,,,,,,,
130,,,,,,,,,,,,,,5849528.0,5750128.0,5717345.0,,,,,,,,,5548708.0,,,,,
131,,,,,,,,,,,,,,5851025.0,,5717345.0,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,5717804.0,,,,,,,,,,,5504313.0,,,
133,,,,,,,,,,,5956037.0,,,,,5718266.0,,,,,,,,,5552839.0,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,5886457.0,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,5893847.0,,,,,,,,,,,,,,,,
137,,,6125985.0,,,,,,,,5957189.0,,,,,,,,,,,,,,,,,,5448214.0,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,6130835.0,,6072952.0,,,,,,,,,,5756584.0,,,,,,,,,,,,,,,
142,6441234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,5489062.0,,
145,,,,,,,,,6046571.0,,,,,,,,,,,,,,,,,,,,,
146,,6189207.0,,,,,,,,,,,,,,5749323.0,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,5809631.0,,,,,,,,,,5446576.0
148,,,,,,,,,,,,,,,5764443.0,,,,,,,,,,,,,5499645.0,,
149,,,,,,,,,,,,,,,,,,,,,,,,,5717866.0,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,5771584.0,,,,,,,5780535.0,,,,,,,,5448671.0
152,,,,,,,,,6096168.0,,,,,,5771628.0,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,5861642.0,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,5955209.0,,,,,,,,,,,,,,,,,,
156,,,,,,,,,6127839.0,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,5785247.0,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,5836064.0,,,,,,,,,,,,,,
159,,,,,6104122.0,,,,,,,,,,,5886457.0,,,,,,,,,,,,,5487169.0,
160,,,,,,,,,,6128030.0,,,,,5790263.0,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,5531159.0,,,,
163,,,6171896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,6120496.0,,,,,,,,,5829979.0,,,,,,,,,,,,,,,
165,,,,6222575.0,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,6356704.0,5875144.0,,,,,,,,,,,,,5685829.0,,
167,,,,,,,,,,6304861.0,,,,,,,,,,,,,,,,,,,,
168,6525889.0,,,,,,,,,,,6088254.0,,,,,,,,,,,,,,,,5987575.0,,
169,,,,,,,,,,,,,,,5893847.0,,,,,,,,,,,,,,,
170,,,,,6164561.0,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,6262877.0,,,,,,,,,,,,,,,,,6442179.0,,,,,,,,,
172,,,,,,,,,,,,,,6402804.0,,,,,,,,,,,,5565555.0,,6277988.0,5634321.0,
173,,,,,,,,,,,,6255445.0,,,,,6424256.0,,,,6520541.0,,,,,,,,,5600449.0
174,,,6231891.0,,6239394.0,,,,,,,,,,,,,,,,,,,,,,,,,5610438.0
175,,6415388.0,,,,,,,,,,,,,6309091.0,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,6440842.0,,,,,,,,,6321101.0,,,
178,,,,,,,6138260.0,,,,,,6381002.0,,,,,6452470.0,,,,,,,,,,6345138.0,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,6524385.0,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,6506658.0,,,,6597857.0,,6572030.0,,,,,,,,,,,,
183,,,,,,6784206.0,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,6665873.0,6659927.0,,,,,,,,,,,6546198.0,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,6643861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,6443934.0,,,,,,,,,,,,7507529.0,,6715061.0,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,6552839.0,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7221315.0
191,,,,,,,,,,,,,,,,,,,,,,6517741.0,,,,,,,,
192,,,,,,,,,6639380.0,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,6614373.0,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,6825042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
