Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
250,500,0.9,0.6,5690860,5302639,01:34:50.860,01:28:22.639,08:33.643,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5728188,5302639,01:35:28.188,01:28:22.639,08:14.828,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5714626,5302639,01:35:14.626,01:28:22.639,08:15.598,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5736982,5302639,01:35:36.982,01:28:22.639,08:07.918,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5688475,5302639,01:34:48.475,01:28:22.639,08:36.085,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5665599,5302639,01:34:25.599,01:28:22.639,08:37.713,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5639758,5302639,01:33:59.758,01:28:22.639,07:51.896,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5695202,5302639,01:34:55.202,01:28:22.639,08:07.050,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5700604,5302639,01:35:00.604,01:28:22.639,08:09.935,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
250,500,0.9,0.6,5669314,5302639,01:34:29.314,01:28:22.639,07:53.840,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(48-'Dry/Wet')(49-'Wet')(50-'VWet')(63-'Dry/Wet')(64-'Dry')
