Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
100,1000,0.3,0.3,5305211,5302639,01:28:25.211,01:28:22.639,05:20.661,(1-'Dry')
100,1000,0.6,0.3,5305279,5302639,01:28:25.279,01:28:22.639,05:31.784,(1-'Dry')
100,1000,0.9,0.3,5304879,5302639,01:28:24.879,01:28:22.639,05:42.419,(1-'Dry')
100,1000,0.3,0.6,5305200,5302639,01:28:25.200,01:28:22.639,05:32.550,(1-'Dry')
100,1000,0.6,0.6,5302797,5302639,01:28:22.797,01:28:22.639,05:45.399,(1-'Dry')
100,1000,0.9,0.6,5306270,5302639,01:28:26.270,01:28:22.639,05:55.662,(1-'Dry')
100,1000,0.3,0.9,5305600,5302639,01:28:25.600,01:28:22.639,05:46.094,(1-'Dry')
100,1000,0.6,0.9,5305160,5302639,01:28:25.160,01:28:22.639,06:01.899,(1-'Dry')
100,1000,0.9,0.9,5306509,5302639,01:28:26.509,01:28:22.639,07:07.670,(1-'Dry')
100,1000,0.3,0.3,5305610,5302639,01:28:25.610,01:28:22.639,05:57.206,(1-'Dry')
100,1000,0.3,0.3,5304153,5302639,01:28:24.153,01:28:22.639,05:58.221,(1-'Dry')
100,1000,0.6,0.3,5302898,5302639,01:28:22.898,01:28:22.639,05:30.269,(1-'Dry')
100,1000,0.6,0.3,5305139,5302639,01:28:25.139,01:28:22.639,05:32.121,(1-'Dry')
100,1000,0.6,0.3,5302797,5302639,01:28:22.797,01:28:22.639,05:24.125,(1-'Dry')
100,1000,0.9,0.3,5305216,5302639,01:28:25.216,01:28:22.639,05:42.026,(1-'Dry')
100,1000,0.9,0.3,5302780,5302639,01:28:22.780,01:28:22.639,05:40.834,(1-'Dry')
100,1000,0.9,0.3,5305448,5302639,01:28:25.448,01:28:22.639,05:41.375,(1-'Dry')
100,1000,0.3,0.6,5305516,5302639,01:28:25.516,01:28:22.639,05:36.312,(1-'Dry')
100,1000,0.3,0.6,5302805,5302639,01:28:22.805,01:28:22.639,05:32.000,(1-'Dry')
100,1000,0.3,0.6,5302816,5302639,01:28:22.816,01:28:22.639,05:31.361,(1-'Dry')
100,1000,0.6,0.6,5305098,5302639,01:28:25.098,01:28:22.639,05:50.267,(1-'Dry')
100,1000,0.6,0.6,5303612,5302639,01:28:23.612,01:28:22.639,05:40.642,(1-'Dry')
100,1000,0.6,0.6,5305359,5302639,01:28:25.359,01:28:22.639,05:49.888,(1-'Dry')
100,1000,0.9,0.6,5305269,5302639,01:28:25.269,01:28:22.639,05:45.971,(1-'Dry')
100,1000,0.9,0.6,5302722,5302639,01:28:22.722,01:28:22.639,05:56.554,(1-'Dry')
100,1000,0.9,0.6,5306183,5302639,01:28:26.183,01:28:22.639,05:59.321,(1-'Dry')
100,1000,0.3,0.9,5305325,5302639,01:28:25.325,01:28:22.639,05:49.447,(1-'Dry')
100,1000,0.3,0.9,5304206,5302639,01:28:24.206,01:28:22.639,05:48.866,(1-'Dry')
100,1000,0.3,0.9,5304498,5302639,01:28:24.498,01:28:22.639,05:47.914,(1-'Dry')
100,1000,0.6,0.9,5303966,5302639,01:28:23.966,01:28:22.639,06:09.172,(1-'Dry')
100,1000,0.6,0.9,5305571,5302639,01:28:25.571,01:28:22.639,05:55.903,(1-'Dry')
100,1000,0.6,0.9,5305139,5302639,01:28:25.139,01:28:22.639,06:04.023,(1-'Dry')
100,1000,0.9,0.9,5303640,5302639,01:28:23.640,01:28:22.639,06:15.886,(1-'Dry')
100,1000,0.9,0.9,5305359,5302639,01:28:25.359,01:28:22.639,06:18.233,(1-'Dry')
100,1000,0.9,0.9,5305220,5302639,01:28:25.220,01:28:22.639,06:02.794,(1-'Dry')
100,200,0.9,0.6,5325122,5302639,01:28:45.122,01:28:22.639,01:11.041,(1-'Dry')
100,200,0.9,0.6,5326344,5302639,01:28:46.344,01:28:22.639,01:10.716,(1-'Dry')
100,200,0.9,0.6,5306606,5302639,01:28:26.606,01:28:22.639,01:12.818,(1-'Dry')
250,200,0.9,0.6,5305870,5302639,01:28:25.870,01:28:22.639,02:57.066,(1-'Dry')
250,200,0.9,0.6,5305785,5302639,01:28:25.785,01:28:22.639,02:59.869,(1-'Dry')
500,200,0.9,0.6,5307124,5302639,01:28:27.124,01:28:22.639,05:54.435,(1-'Dry')
500,200,0.9,0.6,5304949,5302639,01:28:24.949,01:28:22.639,05:59.169,(1-'Dry')
100,500,0.9,0.6,5305557,5302639,01:28:25.557,01:28:22.639,03:02.144,(1-'Dry')
100,500,0.9,0.6,5303225,5302639,01:28:23.225,01:28:22.639,02:55.472,(1-'Dry')
250,500,0.9,0.6,5306910,5302639,01:28:26.910,01:28:22.639,07:09.978,(1-'Dry')
250,500,0.9,0.6,5303368,5302639,01:28:23.368,01:28:22.639,07:15.923,(1-'Dry')
250,500,0.9,0.6,5302720,5302639,01:28:22.720,01:28:22.639,07:23.772,(1-'Dry')
500,500,0.9,0.6,5304526,5302639,01:28:24.526,01:28:22.639,14:29.039,(1-'Dry')
500,500,0.9,0.6,5303046,5302639,01:28:23.046,01:28:22.639,15:04.934,(1-'Dry')
500,500,0.9,0.6,5304136,5302639,01:28:24.136,01:28:22.639,14:35.430,(1-'Dry')
100,1000,0.9,0.6,5302720,5302639,01:28:22.720,01:28:22.639,05:51.596,(1-'Dry')
100,1000,0.9,0.6,5305849,5302639,01:28:25.849,01:28:22.639,05:53.323,(1-'Dry')
