Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
250,500,0.9,0.6,5846694,5302639,01:37:26.694,01:28:22.639,06:42.700,(1-'Dry')
250,500,0.9,0.6,5813293,5302639,01:36:53.293,01:28:22.639,06:44.022,(1-'Dry')
250,500,0.9,0.6,5914463,5302639,01:38:34.463,01:28:22.639,06:47.898,(1-'Dry')
250,500,0.9,0.6,5853691,5302639,01:37:33.691,01:28:22.639,06:50.773,(1-'Dry')
250,500,0.9,0.6,5890514,5302639,01:38:10.514,01:28:22.639,06:53.808,(1-'Dry')
250,500,0.9,0.6,5672384,5302639,01:34:32.384,01:28:22.639,06:55.259,(1-'Dry')
250,500,0.9,0.6,5903187,5302639,01:38:23.187,01:28:22.639,06:53.704,(1-'Dry')
250,500,0.9,0.6,5866923,5302639,01:37:46.923,01:28:22.639,06:53.762,(1-'Dry')
250,500,0.9,0.6,5966549,5302639,01:39:26.549,01:28:22.639,06:49.367,(1-'Dry')
250,500,0.9,0.6,5937493,5302639,01:38:57.493,01:28:22.639,06:49.532,(1-'Dry')
