Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
250,500,0.9,0.6,5115949,4793058,01:25:15.949,01:19:53.058,09:20.393,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5146514,4793058,01:25:46.514,01:19:53.058,08:58.369,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5135931,4793058,01:25:35.931,01:19:53.058,08:59.149,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5129664,4793058,01:25:29.664,01:19:53.058,09:09.053,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5121234,4793058,01:25:21.234,01:19:53.058,09:41.367,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5104897,4793058,01:25:04.897,01:19:53.058,09:05.364,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5125836,4793058,01:25:25.836,01:19:53.058,08:50.812,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5338659,4793058,01:28:58.659,01:19:53.058,08:51.380,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5128125,4793058,01:25:28.125,01:19:53.058,08:47.029,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
250,500,0.9,0.6,5307425,4793058,01:28:27.425,01:19:53.058,08:31.236,(1-'VWet')(14-'Wet')(15-'Dry/Wet')(16-'Dry')(53-'Dry/Wet')(54-'Wet')(55-'VWet')(68-'Dry/Wet')(69-'Dry')
