Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
100,1000,0.3,0.3,4795443,4793058,01:19:55.443,01:19:53.058,05:50.092,(1-'Dry')
100,1000,0.6,0.3,4793496,4793058,01:19:53.496,01:19:53.058,06:01.791,(1-'Dry')
100,1000,0.9,0.3,4794140,4793058,01:19:54.140,01:19:53.058,06:07.599,(1-'Dry')
100,1000,0.3,0.6,4793487,4793058,01:19:53.487,01:19:53.058,06:04.129,(1-'Dry')
100,1000,0.6,0.6,4802010,4793058,01:20:02.010,01:19:53.058,06:10.311,(1-'Dry')
100,1000,0.9,0.6,4797470,4793058,01:19:57.470,01:19:53.058,06:36.194,(1-'Dry')
100,1000,0.3,0.9,4793938,4793058,01:19:53.938,01:19:53.058,06:26.772,(1-'Dry')
100,1000,0.6,0.9,4802380,4793058,01:20:02.380,01:19:53.058,06:55.370,(1-'Dry')
100,1000,0.9,0.9,4794824,4793058,01:19:54.824,01:19:53.058,07:52.579,(1-'Dry')
100,1000,0.3,0.3,4793676,4793058,01:19:53.676,01:19:53.058,06:34.997,(1-'Dry')
100,1000,0.3,0.3,4793113,4793058,01:19:53.113,01:19:53.058,05:52.407,(1-'Dry')
100,1000,0.6,0.3,4794911,4793058,01:19:54.911,01:19:53.058,05:57.771,(1-'Dry')
100,1000,0.6,0.3,4793163,4793058,01:19:53.163,01:19:53.058,06:00.929,(1-'Dry')
100,1000,0.6,0.3,4793720,4793058,01:19:53.720,01:19:53.058,06:03.901,(1-'Dry')
100,1000,0.9,0.3,4799706,4793058,01:19:59.706,01:19:53.058,06:07.797,(1-'Dry')
100,1000,0.9,0.3,4793599,4793058,01:19:53.599,01:19:53.058,06:14.108,(1-'Dry')
100,1000,0.9,0.3,4796147,4793058,01:19:56.147,01:19:53.058,06:13.556,(1-'Dry')
100,1000,0.3,0.6,4793567,4793058,01:19:53.567,01:19:53.058,06:05.750,(1-'Dry')
100,1000,0.3,0.6,4794737,4793058,01:19:54.737,01:19:53.058,06:07.477,(1-'Dry')
100,1000,0.3,0.6,4794002,4793058,01:19:54.002,01:19:53.058,06:07.168,(1-'Dry')
100,1000,0.6,0.6,4794412,4793058,01:19:54.412,01:19:53.058,06:17.575,(1-'Dry')
100,1000,0.6,0.6,4795297,4793058,01:19:55.297,01:19:53.058,06:15.712,(1-'Dry')
100,1000,0.6,0.6,4794632,4793058,01:19:54.632,01:19:53.058,06:18.601,(1-'Dry')
100,1000,0.9,0.6,4798866,4793058,01:19:58.866,01:19:53.058,06:13.336,(1-'Dry')
100,1000,0.9,0.6,4795429,4793058,01:19:55.429,01:19:53.058,06:30.299,(1-'Dry')
100,1000,0.9,0.6,4796077,4793058,01:19:56.077,01:19:53.058,06:27.244,(1-'Dry')
100,1000,0.3,0.9,4794656,4793058,01:19:54.656,01:19:53.058,06:24.420,(1-'Dry')
