Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
250,500,0.9,0.6,5241426,4793058,01:27:21.426,01:19:53.058,07:19.526,(1-'Dry')
250,500,0.9,0.6,5262783,4793058,01:27:42.783,01:19:53.058,07:23.340,(1-'Dry')
250,500,0.9,0.6,5383343,4793058,01:29:43.343,01:19:53.058,07:20.805,(1-'Dry')
250,500,0.9,0.6,5384421,4793058,01:29:44.421,01:19:53.058,07:31.319,(1-'Dry')
250,500,0.9,0.6,5437992,4793058,01:30:37.992,01:19:53.058,07:34.894,(1-'Dry')
250,500,0.9,0.6,5370222,4793058,01:29:30.222,01:19:53.058,07:32.852,(1-'Dry')
250,500,0.9,0.6,5340891,4793058,01:29:00.891,01:19:53.058,07:33.352,(1-'Dry')
250,500,0.9,0.6,5303845,4793058,01:28:23.845,01:19:53.058,07:30.970,(1-'Dry')
250,500,0.9,0.6,5290103,4793058,01:28:10.103,01:19:53.058,07:28.072,(1-'Dry')
250,500,0.9,0.6,5306236,4793058,01:28:26.236,01:19:53.058,07:29.187,(1-'Dry')
