Log file of circuit Portimao at 22/08/2022 18:04:02

Population: 500
Iterations: 2500
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'S'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:22.717 - difference: 13:00.078 - valid strategies: 1.19% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:07.288 - difference: 09:44.649 - valid strategies: 1.18% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:04.155 - difference: 09:41.516 - valid strategies: 5.1% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:37:42.453 - difference: 09:19.814 - valid strategies: 9.6% | threshold is 0.3 - counter = 0/25 - stuck value = 0


Best Strategy fitness: 5840514
Best Strategy time: 01:37:20.514

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639
Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '113.04' Kg, PitStop 'No', Time '01:24.638' ms
Lap 2: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '111.45' Kg, PitStop 'No', Time '01:22.580' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '109.86' Kg, PitStop 'No', Time '01:22.521' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '108.27' Kg, PitStop 'No', Time '01:22.468' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '106.68' Kg, PitStop 'No', Time '01:22.410' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '8.0'% | '6.0'% | '7.0'% | '6.0'%, Fuel '105.09' Kg, PitStop 'No', Time '01:22.358' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '103.5' Kg, PitStop 'Yes', Time '01:44.104' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '101.91' Kg, PitStop 'No', Time '01:22.046' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '100.32' Kg, PitStop 'No', Time '01:21.987' ms
Lap 10: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '98.73' Kg, PitStop 'No', Time '01:21.934' ms
Lap 11: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '97.14' Kg, PitStop 'No', Time '01:21.876' ms
Lap 12: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '95.55' Kg, PitStop 'Yes', Time '01:43.659' ms
