Log file of circuit Montreal at 22/08/2022 13:44:11

Population: 100
Iterations: 500
Mutation: 0.2
Crossover: 1.0
PitStopTime: 00:24.000
Weather: 'S'

[EA] Generation 1 - Bruteforce solution: 01:25:26.822 -> best overall: 01:43:16.474 - difference: 17:49.652 - valid strategies: 6.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0


Best Strategy fitness: 6196474
Best Strategy time: 01:43:16.474

 vs 

Bruteforce fitness: 5126822
Bruteforce time: 01:25:26.822
Lap 1: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '106.83' Kg, PitStop 'No', Time '01:15.672' ms
Lap 2: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '105.35' Kg, PitStop 'Yes', Time '01:38.012' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '103.87' Kg, PitStop 'No', Time '01:14.028' ms
Lap 4: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '102.4' Kg, PitStop 'Yes', Time '01:37.424' ms
Lap 5: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '100.92' Kg, PitStop 'No', Time '01:13.504' ms
Lap 6: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '99.45' Kg, PitStop 'Yes', Time '01:48.118' ms
Lap 7: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '97.97' Kg, PitStop 'Yes', Time '01:38.594' ms
Lap 8: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '96.5' Kg, PitStop 'No', Time '01:14.564' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '95.02' Kg, PitStop 'Yes', Time '01:37.434' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '93.55' Kg, PitStop 'Yes', Time '01:36.929' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '92.07' Kg, PitStop 'No', Time '01:13.008' ms
