Log file of circuit Montreal at 22/08/2022 13:44:12

Population: 100
Iterations: 500
Mutation: 0.1
Crossover: 1.0
PitStopTime: 00:24.000
Weather: 'S'



Best Strategy fitness: 6156476
Best Strategy time: 01:42:36.476

 vs 

Bruteforce fitness: 5126822
Bruteforce time: 01:25:26.822
Lap 1: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '108.77' Kg, PitStop 'No', Time '01:15.727' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '107.29' Kg, PitStop 'Yes', Time '01:37.644' ms
Lap 3: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '105.82' Kg, PitStop 'Yes', Time '01:48.420' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '104.34' Kg, PitStop 'Yes', Time '01:37.902' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '102.87' Kg, PitStop 'No', Time '01:13.918' ms
Lap 6: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '101.39' Kg, PitStop 'Yes', Time '02:05.747' ms
Lap 7: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '99.92' Kg, PitStop 'No', Time '01:41.803' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '98.44' Kg, PitStop 'Yes', Time '01:37.572' ms
Lap 9: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '96.97' Kg, PitStop 'Yes', Time '01:37.066' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '95.49' Kg, PitStop 'No', Time '01:13.145' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '4.0'% | '4.0'% | '4.0'%, Fuel '94.02' Kg, PitStop 'No', Time '01:13.226' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '6.0'%, Fuel '92.54' Kg, PitStop 'No', Time '01:13.286' ms
