Log file of circuit Monza at 22/08/2022 13:44:43

Population: 50
Iterations: 500
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:25.000
Weather: 'S'

[EA] Generation 1 - Bruteforce solution: 01:14:32.444 -> best overall: 01:26:28.291 - difference: 11:55.847 - valid strategies: 14.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
[EA] Generation 2 - Bruteforce solution: 01:14:32.444 -> best overall: 01:25:22.255 - difference: 10:49.811 - valid strategies: 14.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
[EA] Generation 3 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:57.335 - difference: 10:24.891 - valid strategies: 16.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
[EA] Generation 4 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:33.491 - difference: 10:01.047 - valid strategies: 12.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
[EA] Generation 5 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:07.235 - difference: 09:34.791 - valid strategies: 8.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
[EA] Generation 6 - Bruteforce solution: 01:14:32.444 -> best overall: 01:24:07.235 - difference: 09:34.791 - valid strategies: 14.0% | threshold is 0.3 - counter = 1/5 - stuck value = 0
[EA] Generation 7 - Bruteforce solution: 01:14:32.444 -> best overall: 01:23:49.457 - difference: 09:17.013 - valid strategies: 18.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
[EA] Generation 8 - Bruteforce solution: 01:14:32.444 -> best overall: 01:23:10.119 - difference: 08:37.675 - valid strategies: 14.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
[EA] Generation 9 - Bruteforce solution: 01:14:32.444 -> best overall: 01:21:53.440 - difference: 07:20.996 - valid strategies: 12.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
[EA] Generation 10 - Bruteforce solution: 01:14:32.444 -> best overall: 01:21:30.348 - difference: 06:57.904 - valid strategies: 16.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0


Best Strategy fitness: 4860312
Best Strategy time: 01:21:00.312

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444
Lap 1: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '101.14' Kg, PitStop 'No', Time '01:27.300' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '101.14' Kg, PitStop 'No', Time '01:25.354' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '99.25' Kg, PitStop 'Yes', Time '01:50.730' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '97.36' Kg, PitStop 'No', Time '01:25.698' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '95.48' Kg, PitStop 'No', Time '01:25.664' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '93.59' Kg, PitStop 'No', Time '01:25.630' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '91.7' Kg, PitStop 'Yes', Time '01:50.278' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '89.81' Kg, PitStop 'Yes', Time '01:50.164' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '87.92' Kg, PitStop 'No', Time '01:25.130' ms
Lap 10: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '86.03' Kg, PitStop 'No', Time '01:25.098' ms
Lap 11: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '84.14' Kg, PitStop 'Yes', Time '01:51.049' ms
Lap 12: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '82.26' Kg, PitStop 'No', Time '01:25.960' ms
Lap 13: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '80.37' Kg, PitStop 'No', Time '01:25.882' ms
